va,name,size
0x10001000,FUN_10001000,99
0x10001070,FUN_10001070,132
0x10001100,FUN_10001100,66
0x10001150,FUN_10001150,44
0x10001180,FUN_10001180,399
0x10001370,FUN_10001370,416
0x10001510,FUN_10001510,439
0x100016D0,FUN_100016d0,642
0x100019D0,ser_rs232_block,5
0x100019E0,ser_rs232_cleanup,172
0x10001A90,ser_rs232_dtr_off,72
0x10001AE0,ser_rs232_dtr_on,72
0x10001B30,ser_rs232_flush,278
0x10001C50,ser_rs232_getbyte,197
0x10001D20,ser_rs232_getpacket,204
0x10001DF0,ser_rs232_getport,86
0x10001E50,ser_rs232_getregister,93
0x10001EB0,ser_rs232_getstatus,74
0x10001F00,ser_rs232_maxport,6
0x10001F10,ser_rs232_putbyte,196
0x10001FE0,ser_rs232_putpacket,197
0x100020B0,ser_rs232_putregister,8
0x100020C0,ser_rs232_rts_off,72
0x10002110,ser_rs232_rts_on,72
0x10002160,ser_rs232_set_intfunc,108
0x100021D0,ser_rs232_misc_func,425
0x10002420,ser_rs232_setbauddiv,33
0x10002450,ser_rs232_setup,1719
0x10002B10,ser_rs232_viewpacket,98
0x10002B80,ser_rs232_get_sdata,6
0x10002BC0,bio_set_timer,31
0x10002BE0,bio_get_elapsedtime,44
0x10002C10,bio_get_timer,36
0x10002C40,bio_set_timerresolution,42
0x10002C70,FUN_10002c70,35
0x10002CA0,FUN_10002ca0,60
0x10002CE0,FUN_10002ce0,54
0x10002D20,FUN_10002d20,3
0x10002D30,FUN_10002d30,20
0x10002D50,FUN_10002d50,11
0x10002D60,FUN_10002d60,8
0x10002D70,FUN_10002d70,198
0x10002E40,FUN_10002e40,189
0x10002F00,FUN_10002f00,168
0x10002FA8,FUN_10002fa8,133
0x100030D8,__endthread,69
0x1000311F,FUN_1000311f,216
0x100031F7,entry,205
0x100032C4,FUN_100032c4,32
0x100032E4,FUN_100032e4,115
0x10003357,FUN_10003357,9
0x10003360,FUN_10003360,9
0x10003369,FUN_10003369,33
0x1000338A,FUN_1000338a,104
0x100033F2,FUN_100033f2,326
0x10003538,FUN_10003538,46
0x10003566,FUN_10003566,80
0x100035B8,__global_unwind2,32
0x100035FA,FUN_100035fa,90
0x10003677,__cinit,48
0x100036A7,FUN_100036a7,17
0x100036B8,FUN_100036b8,15
0x100036C7,FUN_100036c7,139
0x10003752,FUN_10003752,11
0x1000375D,FUN_1000375d,11
0x10003768,__initterm,32
0x10003788,FUN_10003788,97
0x100037E9,FUN_100037e9,33
0x1000380A,FUN_1000380a,99
0x1000386D,__freeptd,161
0x100039C6,FUN_100039c6,27
0x100039E1,FUN_100039e1,39
0x10003A08,FUN_10003a08,101
0x10003A6D,FUN_10003a6d,86
0x10003AC3,FUN_10003ac3,37
0x10003AE8,FUN_10003ae8,203
0x10003BB3,FUN_10003bb3,150
0x10003C49,FUN_10003c49,458
0x10003E13,FUN_10003e13,59
0x10003E4E,FUN_10003e4e,63
0x10003E8D,FUN_10003e8d,36
0x10003EB1,FUN_10003eb1,485
0x10004096,FUN_10004096,11
0x100040A1,FUN_100040a1,242
0x10004193,FUN_10004193,38
0x100041B9,FUN_100041b9,92
0x10004215,FUN_10004215,33
0x10004236,FUN_10004236,89
0x1000428F,FUN_1000428f,104
0x100042F7,FUN_100042f7,22
0x1000430D,FUN_1000430d,11
0x10004318,FUN_10004318,19
0x1000432B,FUN_1000432b,75
0x10004376,FUN_10004376,152
0x1000440E,FUN_1000440e,69
0x10004453,FUN_10004453,240
0x10004543,FUN_10004543,102
0x100045A9,FUN_100045a9,132
0x1000462D,FUN_1000462d,173
0x100046DA,FUN_100046da,58
0x10004714,FUN_10004714,590
0x10004962,FUN_10004962,105
0x100049CB,FUN_100049cb,106
0x10004A36,RtlUnwind,6
