va,name,xref_count,subsystems
0x100011C5,caseD_b,1,comms-dl
0x100011D7,caseD_c,1,comms-dl
0x100011E9,caseD_d,1,comms-dl
0x100011FB,caseD_e,1,comms-dl
0x1000120A,caseD_f,1,comms-dl
0x10001215,caseD_10,1,comms-dl
0x10001220,caseD_11,1,comms-dl
0x1000122B,caseD_12,1,comms-dl
0x10001236,caseD_13,1,comms-dl
0x10001240,caseD_14,1,comms-dl
0x1000124A,caseD_15,1,comms-dl
0x10001254,caseD_16,1,comms-dl
0x1000125E,caseD_20,1,comms-dl
0x10001274,caseD_21,1,comms-dl
0x1000128C,caseD_17,16,comms-dl
0x10001310,switchdataD_10001310,1,comms-dl
0x10002220,default,1,comms-dl
0x1000222A,caseD_0,1,comms-dl
0x10002236,caseD_0,1,comms-dl
0x1000223C,caseD_1,1,comms-dl
0x10002242,caseD_2,1,comms-dl
0x10002248,caseD_3,1,comms-dl
0x1000224E,caseD_4,1,comms-dl
0x10002254,caseD_5,1,comms-dl
0x1000225A,caseD_6,1,comms-dl
0x10002260,caseD_7,1,comms-dl
0x10002266,caseD_8,1,comms-dl
0x1000226C,caseD_9,1,comms-dl
0x10002272,caseD_a,1,comms-dl
0x10002278,caseD_b,1,comms-dl
0x1000227E,caseD_12,1,comms-dl
0x10002284,caseD_13,1,comms-dl
0x1000228A,caseD_14,1,comms-dl
0x10002290,caseD_c,2,comms-dl
0x100022FB,caseD_c,1,comms-dl
0x10002307,caseD_d,1,comms-dl
0x10002313,caseD_e,1,comms-dl
0x1000231F,caseD_f,1,comms-dl
0x1000232B,caseD_10,1,comms-dl
0x10002337,caseD_11,1,comms-dl
0x10002343,caseD_15,1,comms-dl
0x1000234F,caseD_16,1,comms-dl
0x1000235B,caseD_17,1,comms-dl
0x1000237C,switchdataD_1000237c,1,comms-dl
0x100023AC,switchdataD_100023ac,1,comms-dl
0x100023C4,switchdataD_100023c4,1,comms-dl
0x10005150,<unnamed>,3,comms-dl
0x10005164,<unnamed>,3,comms-dl
0x100058D0,<unnamed>,7,comms-dl
0x100058D4,<unnamed>,1,comms-dl
0x10005978,<unnamed>,3,comms-dl
0x10005980,<unnamed>,8,comms-dl
0x10005984,<unnamed>,6,comms-dl
0x10005988,<unnamed>,5,comms-dl
0x1000598C,<unnamed>,2,comms-dl
0x10005990,<unnamed>,2,comms-dl
0x10005994,<unnamed>,1,comms-dl
0x10005C80,<unnamed>,2,comms-dl
0x10005C84,<unnamed>,1,comms-dl
0x10005C88,<unnamed>,4,comms-dl
0x10005C8C,<unnamed>,3,comms-dl
0x10005C90,<unnamed>,2,comms-dl
0x10005C94,<unnamed>,2,comms-dl
0x10006000,<unnamed>,2,comms-dl
0x10006004,<unnamed>,1,comms-dl
0x100071A0,<unnamed>,2,comms-dl
0x100071BC,<unnamed>,6,comms-dl
0x100071C0,<unnamed>,6,comms-dl
0x100071C4,<unnamed>,4,comms-dl
0x100071C8,<unnamed>,6,comms-dl
0x100071CC,<unnamed>,3,comms-dl
0x100071D4,<unnamed>,2,comms-dl
0x100071D8,<unnamed>,1,comms-dl
0x100071DC,<unnamed>,6,comms-dl
0x100071E0,<unnamed>,3,comms-dl
0x100071E8,<unnamed>,1,comms-dl
0x100071F0,<unnamed>,2,comms-dl
0x100071F8,<unnamed>,1,comms-dl
0x100071FC,<unnamed>,1,comms-dl
