va,name,size
0x10001000,InitializePort,971
0x100013D0,SetBaud,83
0x10001430,SetFlowControlCharacters,128
0x100014B0,SetFlowControlThreshold,94
0x10001510,SetPortCharacteristics,135
0x100015A0,UnInitializePort,157
0x10001640,SetSpecialBehavior,211
0x10001720,Dial,158
0x100017C0,FUN_100017c0,182
0x10001880,ModemAnswerMode,208
0x10001950,ModemAttention,286
0x10001A70,ModemConnect,415
0x10001C20,ModemGetCarrierSpeed,37
0x10001C50,ModemGetConnectSpeed,37
0x10001C80,ModemHangup,163
0x10001D30,ModemInit,163
0x10001DE0,ModemModifyString,266
0x10001F40,ModemModifyValue,165
0x10002010,SendBreak,114
0x10002090,ModemWaitForCall,417
0x10002240,FUN_10002240,38
0x10002270,GetByte,126
0x100022F0,GetPacket,169
0x100023A0,GetString,275
0x100024C0,PeekChar,128
0x10002540,PutByte,118
0x100025C0,PutPacket,226
0x100026B0,PutString,47
0x100026E0,BytesInReceiveBuffer,28
0x10002700,BytesInTransmitBuffer,28
0x10002720,FlushReceiveBuffer,26
0x10002740,FlushTransmitBuffer,26
0x10002760,ReceiveBufferSize,28
0x10002780,SpaceInReceiveBuffer,33
0x100027B0,SpaceInTransmitBuffer,33
0x100027E0,SpaceTransmitBuffer,13
0x100027F0,TransmitBufferSize,28
0x10002810,WaitForPeekTableFixed,345
0x10002970,WaitForPeekFixed,68
0x100029C0,WaitForTableFixed,578
0x10002C10,WaitForFixed,68
0x10002C60,WaitForPeekTable,335
0x10002DB0,WaitForPeek,50
0x10002DF0,WaitForTable,544
0x10003010,WaitFor,50
0x10003050,CdrvCrc16,66
0x100030A0,CdrvCrc32,54
0x100030E0,DtrOff,24
0x10003100,DtrOn,24
0x10003120,RtsOff,24
0x10003140,RtsOn,24
0x10003160,CdrvGetPcb,22
0x10003180,CdrvCheckTime,187
0x10003240,CdrvDelay,45
0x10003270,CdrvReturnStringAddress,7
0x10003280,CdrvSetTime,79
0x100032D0,CdrvSetTimeoutFunction,48
0x10003300,CdrvSetTimerResolution,31
0x10003320,GetPaceTime,37
0x10003350,GetTimeout,37
0x10003380,SetPaceTime,43
0x100033B0,SetTimeout,43
0x100033E0,DataStreamGetPacket,78
0x10003430,DataStreamGetByte,71
0x10003480,SetDataStreamFunction,43
0x100034B0,IsBreak,54
0x100034F0,IsCarrierDetect,33
0x10003520,IsCts,33
0x10003550,IsDsr,33
0x10003580,IsFramingError,54
0x100035C0,IsInputOverrun,54
0x10003600,IsOverrunError,54
0x10003640,IsParityError,54
0x10003680,IsPortAvailable,20
0x100036A0,IsReceiveBufferEmpty,24
0x100036C0,IsRing,54
0x10003700,IsTransmitBufferEmpty,24
0x10003720,FUN_10003720,23
0x10003740,FUN_10003740,48
0x10003770,FUN_10003770,29
0x10003790,FUN_10003790,55
0x100037D0,FUN_100037d0,36
0x10003800,FUN_10003800,64
0x10003840,FUN_10003840,86
0x100038A0,FUN_100038a0,69
0x100038F0,FUN_100038f0,28
0x10003910,FUN_10003910,31
0x10003930,Ordinal_9,6
0x10003936,Ordinal_20,6
0x1000393C,Ordinal_3,6
0x10003942,Ordinal_8,6
0x10003948,Ordinal_21,6
0x1000394E,Ordinal_13,6
0x10003954,Ordinal_14,6
0x1000395A,Ordinal_6,6
0x10003960,Ordinal_11,6
0x10003966,Ordinal_4,6
0x1000396C,Ordinal_5,6
0x10003972,Ordinal_16,6
0x10003978,Ordinal_17,6
0x1000397E,Ordinal_23,6
0x10003984,Ordinal_24,6
0x1000398A,Ordinal_25,6
0x10003990,Ordinal_27,6
0x10003996,Ordinal_7,6
0x1000399C,FUN_1000399c,216
0x10003A74,entry,205
0x10003B41,FUN_10003b41,32
0x10003B61,__cinit,48
0x10003B91,FUN_10003b91,17
0x10003BA2,FUN_10003ba2,15
0x10003BB1,FUN_10003bb1,139
0x10003C3C,FUN_10003c3c,11
0x10003C47,FUN_10003c47,11
0x10003C52,__initterm,32
0x10003C72,FUN_10003c72,97
0x10003CD3,FUN_10003cd3,33
0x10003CF4,__freeptd,161
0x10003D95,FUN_10003d95,39
0x10003DBC,FUN_10003dbc,101
0x10003E21,FUN_10003e21,86
0x10003E77,FUN_10003e77,37
0x10003E9C,FUN_10003e9c,203
0x10003F67,FUN_10003f67,150
0x10003FFD,FUN_10003ffd,458
0x100041C7,FUN_100041c7,59
0x10004202,FUN_10004202,63
0x10004241,FUN_10004241,36
0x10004265,FUN_10004265,485
0x1000444A,FUN_1000444a,11
0x10004455,FUN_10004455,242
0x10004547,FUN_10004547,8
0x1000454F,FUN_1000454f,38
0x10004575,FUN_10004575,92
0x100045D1,FUN_100045d1,33
0x100045F2,FUN_100045f2,89
0x1000464B,FUN_1000464b,104
0x100046B3,FUN_100046b3,22
0x100046C9,FUN_100046c9,80
0x10004719,FUN_10004719,33
0x1000473A,FUN_1000473a,104
0x100047A2,FUN_100047a2,19
0x100047B5,FUN_100047b5,75
0x10004800,FUN_10004800,152
0x10004898,FUN_10004898,69
0x100048DD,FUN_100048dd,11
0x100048E8,FUN_100048e8,240
0x100049D8,FUN_100049d8,102
0x10004A3E,FUN_10004a3e,132
0x10004AC2,FUN_10004ac2,173
0x10004B6F,FUN_10004b6f,58
0x10004BA9,FUN_10004ba9,590
0x10004DF7,FUN_10004df7,105
0x10004E60,FUN_10004e60,106
