va,name,size
0x10001000,FUN_10001000,2149
0x100018D0,FUN_100018d0,2048
0x10002150,FUN_10002150,20
0x10002410,CdrvXferCreateDialog,362
0x10002580,CdrvXferUpdateDialog,288
0x100026A0,CdrvXferDestroyDialog,63
0x100026E0,FUN_100026e0,944
0x10002A90,cdrvxfer_files,38
0x10002AC0,cdrvxfer_sfiles,38
0x10002AF0,FileTransferDialog,62
0x10002B30,FUN_10002b30,234
0x10002C20,FUN_10002c20,360
0x10002D90,FUN_10002d90,144
0x10002E20,FUN_10002e20,70
0x10002E70,FUN_10002e70,318
0x10002FB0,FUN_10002fb0,201
0x10003080,cdrvxfer_gclose,66
0x100030D0,FUN_100030d0,220
0x100031B0,FUN_100031b0,229
0x100032A0,FUN_100032a0,117
0x10003320,FUN_10003320,34
0x10003350,FUN_10003350,132
0x100033E0,cdrvxfer_getfiles,46
0x10003410,cdrvxfer_sendfiles,46
0x10003440,SetXferParameters,183
0x10003500,TransferFiles,305
0x10003640,FUN_10003640,31
0x10003660,FUN_10003660,23
0x10003680,FUN_10003680,48
0x100036B0,FUN_100036b0,29
0x100036D0,FUN_100036d0,36
0x10003700,FUN_10003700,64
0x10003740,FUN_10003740,86
0x100037A0,FUN_100037a0,69
0x100037F0,FUN_100037f0,28
0x10003810,FUN_10003810,31
0x10003830,FUN_10003830,95
0x10003890,FUN_10003890,29
0x100038B0,FUN_100038b0,1592
0x10004070,FUN_10004070,1608
0x10004760,FUN_10004760,273
0x10004880,FUN_10004880,2201
0x100051E0,FUN_100051e0,1487
0x100058B0,dos_close,26
0x100058D0,dos_commit,26
0x100058F0,dos_create,88
0x10005960,dos_createdir,28
0x10005980,dos_delete,26
0x100059A0,dos_deletedir,26
0x100059C0,dos_getdate,78
0x10005A10,dos_getdir,104
0x10005A80,dos_getfdate,78
0x10005AD0,dos_getfileattribute,68
0x10005B20,dos_getfiledatetime,154
0x10005BC0,dos_getfirstfile,171
0x10005C70,dos_getnextfile,296
0x10005DA0,dos_gettime,91
0x10005E00,dos_open,134
0x10005EA0,dos_read,57
0x10005EE0,dos_rename,31
0x10005F00,dos_seek,51
0x10005F40,dos_setfdate,78
0x10005F90,dos_setfileattribute,70
0x10005FE0,dos_setfiledatetime,132
0x10006070,dos_write,57
0x100060AA,Ordinal_26,6
0x100060B0,Ordinal_25,6
0x100060B6,Ordinal_24,6
0x100060BC,Ordinal_23,6
0x100060C2,Ordinal_14,6
0x100060C8,Ordinal_9,6
0x100060CE,Ordinal_8,6
0x100060D4,Ordinal_6,6
0x100060DA,FUN_100060da,216
0x100061B2,entry,205
0x1000627F,FUN_1000627f,32
0x1000629F,__cinit,48
0x100062CF,FUN_100062cf,17
0x100062E0,FUN_100062e0,15
0x100062EF,FUN_100062ef,139
0x1000637A,FUN_1000637a,11
0x10006385,FUN_10006385,11
0x10006390,__initterm,32
0x100063B0,FUN_100063b0,97
0x10006411,FUN_10006411,33
0x10006432,__freeptd,161
0x100064D3,FUN_100064d3,39
0x100064FA,FUN_100064fa,101
0x1000655F,FUN_1000655f,86
0x100065B5,FUN_100065b5,37
0x100065DA,FUN_100065da,203
0x100066A5,FUN_100066a5,150
0x1000673B,FUN_1000673b,458
0x10006905,FUN_10006905,59
0x10006940,FUN_10006940,63
0x1000697F,FUN_1000697f,36
0x100069A3,FUN_100069a3,485
0x10006B88,FUN_10006b88,11
0x10006B93,FUN_10006b93,242
0x10006C85,FUN_10006c85,38
0x10006CAB,FUN_10006cab,92
0x10006D07,FUN_10006d07,33
0x10006D28,FUN_10006d28,89
0x10006D81,FUN_10006d81,104
0x10006DE9,FUN_10006de9,22
0x10006DFF,FUN_10006dff,80
0x10006E4F,FUN_10006e4f,33
0x10006E70,FUN_10006e70,104
0x10006ED8,FUN_10006ed8,19
0x10006EEB,FUN_10006eeb,75
0x10006F36,FUN_10006f36,152
0x10006FCE,FUN_10006fce,69
0x10007013,FUN_10007013,11
0x1000701E,FUN_1000701e,240
0x1000710E,FUN_1000710e,102
0x10007174,FUN_10007174,132
0x100071F8,FUN_100071f8,173
0x100072A5,FUN_100072a5,58
0x100072DF,FUN_100072df,590
0x1000752D,FUN_1000752d,105
0x10007596,FUN_10007596,106
