va,name,xref_count,subsystems
0x1000102E,caseD_0,1,comms-xf
0x10001055,caseD_1,1,comms-xf
0x100010BC,caseD_2,1,comms-xf
0x10001177,caseD_3,1,comms-xf
0x100011B7,caseD_15,1,comms-xf
0x100011E0,caseD_16,1,comms-xf
0x10001258,caseD_17,1,comms-xf
0x100012E1,caseD_4,1,comms-xf
0x100014F0,caseD_5,1,comms-xf
0x100015D7,caseD_14,1,comms-xf
0x100015F6,caseD_1,1,comms-xf
0x10001613,caseD_2,1,comms-xf
0x10001630,caseD_4,1,comms-xf
0x10001693,caseD_18,1,comms-xf
0x100016AD,caseD_18,1,comms-xf
0x1000173B,caseD_19,1,comms-xf
0x1000182E,caseD_3,8,comms-xf
0x10001845,default,8,comms-xf
0x10001868,switchdataD_10001868,1,comms-xf
0x10001880,switchdataD_10001880,1,comms-xf
0x100018EF,caseD_28,1,comms-xf
0x10001918,caseD_29,1,comms-xf
0x1000197B,caseD_2a,1,comms-xf
0x100019C6,caseD_2b,1,comms-xf
0x10001B25,caseD_2c,1,comms-xf
0x10001B5F,caseD_2d,1,comms-xf
0x10001BBB,caseD_0,1,comms-xf
0x10001BC2,caseD_1,1,comms-xf
0x10001BC7,caseD_6,3,comms-xf
0x10001C76,caseD_2e,1,comms-xf
0x10001CE4,caseD_2f,1,comms-xf
0x10001E88,caseD_0,1,comms-xf
0x10001E95,caseD_3,1,comms-xf
0x10001F23,caseD_30,1,comms-xf
0x10001FDD,caseD_0,1,comms-xf
0x10001FE6,caseD_1,1,comms-xf
0x10001FEF,caseD_3,1,comms-xf
0x10002003,caseD_6,4,comms-xf
0x100020B1,default,34,comms-xf
0x100020D0,switchdataD_100020d0,1,comms-xf
0x100020F4,switchdataD_100020f4,1,comms-xf
0x10002104,switchdataD_10002104,1,comms-xf
0x1000210C,switchdataD_1000210c,1,comms-xf
0x1000212C,switchdataD_1000212c,1,comms-xf
0x10003954,caseD_5,32,comms-xf
0x100039C7,caseD_1,1,comms-xf
0x100039E9,caseD_12,2,comms-xf
0x100039F8,caseD_18,1,comms-xf
0x10003A1B,caseD_41,1,comms-xf
0x10003A3E,caseD_42,1,comms-xf
0x10003A6B,caseD_43,1,comms-xf
0x10003A8E,caseD_2,1,comms-xf
0x10003ACC,caseD_12,2,comms-xf
0x10003AE5,caseD_18,1,comms-xf
0x10003B1C,caseD_68,1,comms-xf
0x10003B4B,caseD_6c,1,comms-xf
0x10003B52,caseD_6d,1,comms-xf
0x10003C84,caseD_4,1,comms-xf
0x10003D83,caseD_a,1,comms-xf
0x10003DA0,caseD_58,1,comms-xf
0x10003DD7,caseD_5a,1,comms-xf
0x10003E1F,caseD_64,1,comms-xf
0x10003E33,caseD_0,1,comms-xf
0x10003ED1,caseD_b,1,comms-xf
0x10003F00,<unnamed>,1,comms-xf
0x10003F08,<unnamed>,1,comms-xf
0x10003F68,<unnamed>,1,comms-xf
0x10003F74,<unnamed>,1,comms-xf
0x10003F78,switchdataD_10003f78,1,comms-xf
0x10003FC8,switchdataD_10003fc8,1,comms-xf
0x100045AF,caseD_12,2,comms-xf
0x100045CE,caseD_10,2,comms-xf
0x100046B8,switchdataD_100046b8,1,comms-xf
0x100046C0,<unnamed>,1,comms-xf
0x100048A2,caseD_2c,1,comms-xf
0x100048CC,caseD_2e,1,comms-xf
0x100048E6,caseD_0,1,comms-xf
0x100048EE,caseD_2,1,comms-xf
0x100048F9,caseD_4,2,comms-xf
0x10004963,caseD_32,1,comms-xf
0x1000497F,caseD_35,2,comms-xf
0x10004999,caseD_33,1,comms-xf
0x100049DF,caseD_2b,1,comms-xf
0x10004A72,caseD_34,1,comms-xf
0x10004A90,caseD_0,1,comms-xf
0x10004ABD,caseD_1,1,comms-xf
0x10004B82,caseD_6,1,comms-xf
0x10004BA7,caseD_0,1,comms-xf
0x10004BB3,caseD_4,1,comms-xf
0x10004BC6,caseD_a,1,comms-xf
0x10004BE2,caseD_b,1,comms-xf
0x10004C00,caseD_8,1,comms-xf
0x10004C43,caseD_9,1,comms-xf
0x10004C8C,caseD_e,1,comms-xf
0x10004CA3,caseD_28,1,comms-xf
0x10004CFB,caseD_29,1,comms-xf
0x10004D39,caseD_31,1,comms-xf
0x10004D50,caseD_2d,1,comms-xf
0x10004DE0,caseD_30,1,comms-xf
0x10004E91,caseD_ffffffff,1,comms-xf
0x10004EF3,caseD_2,2,comms-xf
0x10004FA6,caseD_3,1,comms-xf
0x10004FEA,caseD_5,1,comms-xf
0x10005031,caseD_10,3,comms-xf
0x10005056,caseD_1,1,comms-xf
0x10005088,caseD_2,1,comms-xf
0x100050A9,caseD_3,1,comms-xf
0x100050FB,caseD_2a,21,comms-xf
0x1000511C,switchdataD_1000511c,1,comms-xf
0x10005130,<unnamed>,1,comms-xf
0x10005140,<unnamed>,1,comms-xf
0x10005144,<unnamed>,1,comms-xf
0x10005148,<unnamed>,1,comms-xf
0x1000514C,<unnamed>,1,comms-xf
0x10005150,<unnamed>,1,comms-xf
0x10005154,switchdataD_10005154,1,comms-xf
0x10005164,switchdataD_10005164,1,comms-xf
0x1000516C,switchdataD_1000516c,1,comms-xf
0x10005170,<unnamed>,1,comms-xf
0x10005184,switchdataD_10005184,1,comms-xf
0x100051B8,switchdataD_100051b8,1,comms-xf
0x100051D0,switchdataD_100051d0,1,comms-xf
0x100051FD,caseD_8,1,comms-xf
0x10005223,caseD_ffffffff,1,comms-xf
0x1000529F,caseD_0,1,comms-xf
0x100052CB,caseD_0,1,comms-xf
0x100052D7,caseD_2,1,comms-xf
0x100052EF,caseD_4,1,comms-xf
0x10005331,caseD_8,1,comms-xf
0x10005357,caseD_a,1,comms-xf
0x1000538B,caseD_11,1,comms-xf
0x100053A0,caseD_68,1,comms-xf
0x10005558,caseD_6a,1,comms-xf
0x10005576,caseD_6b,1,comms-xf
0x1000558A,caseD_0,1,comms-xf
0x100055EE,caseD_1,1,comms-xf
0x1000560E,caseD_6,1,comms-xf
0x1000561E,caseD_7,1,comms-xf
0x10005658,caseD_b,1,comms-xf
0x1000568E,caseD_10,1,comms-xf
0x100056A0,caseD_2,1,comms-xf
0x100056B2,caseD_5,1,comms-xf
0x1000573B,caseD_68,1,comms-xf
0x10005759,caseD_69,1,comms-xf
0x10005791,caseD_2,11,comms-xf
0x100057AA,caseD_1,2,comms-xf
0x100057B0,switchdataD_100057b0,1,comms-xf
0x100057C8,<unnamed>,1,comms-xf
0x100057D0,<unnamed>,1,comms-xf
0x100057D4,switchdataD_100057d4,1,comms-xf
0x100057F1,<unnamed>,1,comms-xf
0x10005860,switchdataD_10005860,1,comms-xf
0x10005884,switchdataD_10005884,1,comms-xf
0x10005898,switchdataD_10005898,1,comms-xf
0x10005900,default,1,comms-xf
0x10005908,caseD_0,1,comms-xf
0x1000590F,caseD_1,1,comms-xf
0x10005916,caseD_2,1,comms-xf
0x1000591D,caseD_3,1,comms-xf
0x10005948,switchdataD_10005948,1,comms-xf
0x10005E42,default,1,comms-xf
0x10005E4A,caseD_0,1,comms-xf
0x10005E4E,caseD_2,1,comms-xf
0x10005E55,caseD_3,1,comms-xf
0x10005E5C,caseD_4,1,comms-xf
0x10005E88,switchdataD_10005e88,1,comms-xf
0x10008150,<unnamed>,4,comms-xf
0x10008154,<unnamed>,3,comms-xf
0x10008160,<unnamed>,8,comms-xf
0x10008164,<unnamed>,6,comms-xf
0x10008168,<unnamed>,5,comms-xf
0x1000816C,<unnamed>,2,comms-xf
0x10008170,<unnamed>,2,comms-xf
0x10008174,<unnamed>,1,comms-xf
0x10008460,<unnamed>,2,comms-xf
0x10008464,<unnamed>,1,comms-xf
0x10008468,<unnamed>,4,comms-xf
0x1000846C,<unnamed>,3,comms-xf
0x10008470,<unnamed>,2,comms-xf
0x10009000,<unnamed>,1,comms-xf
0x10009004,<unnamed>,2,comms-xf
0x10009008,<unnamed>,1,comms-xf
0x10009018,<unnamed>,1,comms-xf
0x10009038,<unnamed>,2,comms-xf
0x10009048,<unnamed>,1,comms-xf
0x1000906C,<unnamed>,2,comms-xf
0x10009078,<unnamed>,2,comms-xf
0x10009080,<unnamed>,14,comms-xf
0x10009090,<unnamed>,3,comms-xf
0x10009092,<unnamed>,4,comms-xf
0x10009094,<unnamed>,2,comms-xf
0x10009096,<unnamed>,1,comms-xf
0x100090AC,<unnamed>,2,comms-xf
0x100090B0,<unnamed>,2,comms-xf
0x100090B4,<unnamed>,2,comms-xf
0x100090B8,<unnamed>,2,comms-xf
0x100090BC,<unnamed>,2,comms-xf
0x100090C0,<unnamed>,2,comms-xf
0x100090C4,<unnamed>,2,comms-xf
0x100090C8,<unnamed>,2,comms-xf
0x100090D0,<unnamed>,2,comms-xf
0x100090D1,<unnamed>,1,comms-xf
0x100090EC,<unnamed>,14,comms-xf
0x10009100,<unnamed>,1,comms-xf
0x10009728,<unnamed>,6,comms-xf
0x1000972C,<unnamed>,3,comms-xf
0x10009734,<unnamed>,1,comms-xf
0x10009744,<unnamed>,2,comms-xf
0x10009774,<unnamed>,2,comms-xf
0x10009778,<unnamed>,7,comms-xf
0x10009780,<unnamed>,7,comms-xf
0x10009784,<unnamed>,12,comms-xf
0x10009788,<unnamed>,10,comms-xf
0x1000978C,<unnamed>,17,comms-xf
0x10009790,<unnamed>,17,comms-xf
0x10009794,<unnamed>,3,comms-xf
0x10009798,<unnamed>,1,comms-xf
0x1000979C,<unnamed>,3,comms-xf
0x100097A0,<unnamed>,2,comms-xf
0x100097A8,<unnamed>,6,comms-xf
0x100097AC,<unnamed>,6,comms-xf
0x100098AC,<unnamed>,5,comms-xf
0x100098B8,<unnamed>,6,comms-xf
0x100098BC,<unnamed>,3,comms-xf
0x100098C0,<unnamed>,3,comms-xf
0x100098C4,<unnamed>,4,comms-xf
0x100098C8,<unnamed>,1,comms-xf
0x100098C9,<unnamed>,1,comms-xf
0x100098D0,<unnamed>,2,comms-xf
0x10009900,<unnamed>,1,comms-xf
0x100099C8,<unnamed>,5,comms-xf
0x100099CC,<unnamed>,2,comms-xf
0x10009AC8,<unnamed>,6,comms-xf
0x10009ACC,<unnamed>,2,comms-xf
0x10009AD0,<unnamed>,2,comms-xf
0x10009FF0,<unnamed>,1,comms-xf
0x1000A01C,<unnamed>,2,comms-xf
0x1000A1B8,<unnamed>,2,comms-xf
0x1000A1C0,<unnamed>,2,comms-xf
0x1000A1C4,<unnamed>,1,comms-xf
0x1000A1C8,<unnamed>,1,comms-xf
0x1000A1CC,<unnamed>,1,comms-xf
0x1000A230,<unnamed>,2,comms-xf
0x1000A238,<unnamed>,9,comms-xf
0x1000A23C,<unnamed>,1,comms-xf
0x1000A25C,<unnamed>,2,comms-xf
0x1000A26C,<unnamed>,2,comms-xf
0x1000A27C,<unnamed>,2,comms-xf
0x1000A7C8,<unnamed>,1,comms-xf
0x1000A7CC,<unnamed>,1,comms-xf
0x1000B1C0,<unnamed>,1,comms-xf
0x1000B1C4,<unnamed>,1,comms-xf
0x1000B1C8,<unnamed>,1,comms-xf
0x1000B1CC,<unnamed>,1,comms-xf
0x1000B1D0,<unnamed>,1,comms-xf
0x1000B1D4,<unnamed>,1,comms-xf
0x1000B1D8,<unnamed>,1,comms-xf
0x1000B1DC,<unnamed>,1,comms-xf
0x1000B1E4,<unnamed>,1,comms-xf
0x1000B1EC,<unnamed>,1,comms-xf
0x1000B1F0,<unnamed>,3,comms-xf
0x1000B1F4,<unnamed>,2,comms-xf
0x1000B1F8,<unnamed>,1,comms-xf
0x1000B1FC,<unnamed>,2,comms-xf
0x1000B200,<unnamed>,1,comms-xf
0x1000B204,<unnamed>,2,comms-xf
0x1000B208,<unnamed>,2,comms-xf
0x1000B20C,<unnamed>,1,comms-xf
0x1000B210,<unnamed>,1,comms-xf
0x1000B214,<unnamed>,1,comms-xf
0x1000B218,<unnamed>,2,comms-xf
0x1000B21C,<unnamed>,1,comms-xf
0x1000B220,<unnamed>,1,comms-xf
0x1000B224,<unnamed>,2,comms-xf
0x1000B228,<unnamed>,1,comms-xf
0x1000B22C,<unnamed>,1,comms-xf
0x1000B230,<unnamed>,2,comms-xf
0x1000B234,<unnamed>,1,comms-xf
0x1000B238,<unnamed>,1,comms-xf
0x1000B23C,<unnamed>,1,comms-xf
0x1000B240,<unnamed>,1,comms-xf
0x1000B244,<unnamed>,1,comms-xf
0x1000B248,<unnamed>,1,comms-xf
0x1000B24C,<unnamed>,1,comms-xf
0x1000B250,<unnamed>,1,comms-xf
0x1000B254,<unnamed>,1,comms-xf
0x1000B258,<unnamed>,1,comms-xf
0x1000B25C,<unnamed>,1,comms-xf
0x1000B260,<unnamed>,1,comms-xf
0x1000B264,<unnamed>,1,comms-xf
0x1000B268,<unnamed>,2,comms-xf
0x1000B26C,<unnamed>,1,comms-xf
0x1000B270,<unnamed>,1,comms-xf
0x1000B274,<unnamed>,1,comms-xf
0x1000B278,<unnamed>,1,comms-xf
0x1000B27C,<unnamed>,1,comms-xf
0x1000B280,<unnamed>,1,comms-xf
0x1000B284,<unnamed>,1,comms-xf
0x1000B288,<unnamed>,3,comms-xf
0x1000B28C,<unnamed>,2,comms-xf
0x1000B290,<unnamed>,1,comms-xf
0x1000B294,<unnamed>,1,comms-xf
0x1000B298,<unnamed>,1,comms-xf
0x1000B29C,<unnamed>,1,comms-xf
0x1000B2A0,<unnamed>,1,comms-xf
0x1000B2A4,<unnamed>,1,comms-xf
0x1000B2A8,<unnamed>,2,comms-xf
0x1000B2B4,<unnamed>,1,comms-xf
0x1000B2C4,<unnamed>,1,comms-xf
0x1000B2D0,<unnamed>,1,comms-xf
0x1000B2D4,<unnamed>,1,comms-xf
0x1000B2D8,<unnamed>,1,comms-xf
0x1000B2DC,<unnamed>,1,comms-xf
0x1000B2E0,<unnamed>,1,comms-xf
0x1000B2E4,<unnamed>,2,comms-xf
0x1000B2E8,<unnamed>,2,comms-xf
0x1000B2EC,<unnamed>,1,comms-xf
0x1000B2F0,<unnamed>,1,comms-xf
0x1000B2F4,<unnamed>,1,comms-xf
0x1000B2F8,<unnamed>,2,comms-xf
0x1000B2FC,<unnamed>,1,comms-xf
0x1000B300,<unnamed>,1,comms-xf
