va,name,size
0x10001000,FUN_10001000,380
0x10001180,FUN_10001180,109
0x100011F0,commdrvw_char_screen,1698
0x10001990,CdrvScrDestroy,21
0x100019B0,CdrvScrCreate,31
0x100019D0,CdrvScrResize,21
0x100019F0,CdrvScrWrite,27
0x10001A10,CdrvScrKillFocus,21
0x10001A30,CdrvScrSetFocus,21
0x10001A50,CdrvScrPaint,21
0x10001A65,FUN_10001a65,33
0x10001A86,FUN_10001a86,104
0x10001AEE,FUN_10001aee,80
0x10001B40,FID_conflict:_memcpy,285
0x10001C8E,FUN_10001c8e,216
0x10001D66,entry,205
0x10001E33,FUN_10001e33,32
0x10001E53,FUN_10001e53,33
0x10001E74,FUN_10001e74,89
0x10001ECD,FUN_10001ecd,104
0x10001F35,FUN_10001f35,22
0x10001F4B,FUN_10001f4b,39
0x10001F72,FUN_10001f72,101
0x10001FD7,FUN_10001fd7,86
0x1000202D,FUN_1000202d,37
0x10002052,FUN_10002052,11
0x1000205D,FUN_1000205d,19
0x10002070,FUN_10002070,75
0x100020BB,FUN_100020bb,152
0x10002153,FUN_10002153,69
0x10002198,__cinit,48
0x100021C8,FUN_100021c8,17
0x100021D9,FUN_100021d9,15
0x100021E8,FUN_100021e8,139
0x10002273,FUN_10002273,11
0x1000227E,FUN_1000227e,11
0x10002289,__initterm,32
0x100022A9,FUN_100022a9,97
0x1000230A,FUN_1000230a,33
0x1000232B,__freeptd,161
0x100023CC,FUN_100023cc,203
0x10002497,FUN_10002497,150
0x1000252D,FUN_1000252d,458
0x100026F7,FUN_100026f7,59
0x10002732,FUN_10002732,63
0x10002771,FUN_10002771,36
0x10002795,FUN_10002795,485
0x1000297A,FUN_1000297a,11
0x10002985,FUN_10002985,242
0x10002A77,FUN_10002a77,8
0x10002A7F,FUN_10002a7f,38
0x10002AA5,FUN_10002aa5,92
0x10002B01,FUN_10002b01,240
0x10002BF1,FUN_10002bf1,102
0x10002C57,FUN_10002c57,132
0x10002CDB,FUN_10002cdb,173
0x10002D88,FUN_10002d88,58
0x10002DC2,FUN_10002dc2,590
0x10003010,FUN_10003010,105
0x10003079,FUN_10003079,106
