va,name,xref_count,subsystems
0x1000122F,caseD_0,1,comms-sc
0x10001288,caseD_1,1,comms-sc
0x1000133F,caseD_2,1,comms-sc
0x10001386,caseD_9,2,comms-sc
0x1000139B,caseD_8,1,comms-sc
0x100013B9,caseD_a,1,comms-sc
0x100013C1,caseD_d,1,comms-sc
0x1000152E,default,8,comms-sc
0x100015C4,caseD_3,1,comms-sc
0x10001676,caseD_4,1,comms-sc
0x10001689,caseD_4,2,comms-sc
0x10001694,caseD_0,1,comms-sc
0x1000169F,caseD_1,1,comms-sc
0x100016AA,caseD_2,1,comms-sc
0x100016C2,caseD_3,1,comms-sc
0x100016D8,caseD_5,1,comms-sc
0x100016E9,caseD_6,1,comms-sc
0x100016F3,caseD_7,1,comms-sc
0x1000174F,caseD_5,1,comms-sc
0x10001762,caseD_4,2,comms-sc
0x1000176D,caseD_0,1,comms-sc
0x10001778,caseD_1,1,comms-sc
0x10001783,caseD_2,1,comms-sc
0x1000179B,caseD_3,1,comms-sc
0x100017B1,caseD_5,1,comms-sc
0x100017C2,caseD_6,1,comms-sc
0x100017CC,caseD_7,1,comms-sc
0x1000181A,caseD_6,1,comms-sc
0x10001837,caseD_7,1,comms-sc
0x10001856,caseD_8,1,comms-sc
0x10001894,switchdataD_10001894,1,comms-sc
0x100018B8,switchdataD_100018b8,1,comms-sc
0x100018C4,<unnamed>,1,comms-sc
0x10001944,switchdataD_10001944,1,comms-sc
0x10001964,switchdataD_10001964,1,comms-sc
0x10001B78,switchdataD_10001b78,2,comms-sc
0x10001B88,caseD_3,2,comms-sc
0x10001B9C,caseD_2,2,comms-sc
0x10001BAC,caseD_1,2,comms-sc
0x10001BB0,caseD_0,2,comms-sc
0x10001C10,switchdataD_10001c10,2,comms-sc
0x10001C20,caseD_3,2,comms-sc
0x10001C38,caseD_2,2,comms-sc
0x10001C48,caseD_1,2,comms-sc
0x10001C4E,caseD_0,2,comms-sc
0x1000414C,<unnamed>,1,comms-sc
0x10004150,<unnamed>,1,comms-sc
0x10004154,<unnamed>,3,comms-sc
0x10004158,<unnamed>,3,comms-sc
0x10004160,<unnamed>,8,comms-sc
0x10004164,<unnamed>,6,comms-sc
0x10004168,<unnamed>,5,comms-sc
0x1000416C,<unnamed>,2,comms-sc
0x10004170,<unnamed>,2,comms-sc
0x10004174,<unnamed>,1,comms-sc
0x10004460,<unnamed>,4,comms-sc
0x10004464,<unnamed>,2,comms-sc
0x10005000,<unnamed>,5,comms-sc
0x10005004,<unnamed>,19,comms-sc
0x10005008,<unnamed>,2,comms-sc
0x1000500C,<unnamed>,3,comms-sc
0x10005010,<unnamed>,1,comms-sc
