va,name,xref_count,subsystems
0x00400000,<unnamed>,18,collision;network;startup;terrain;weapons
0x00401880,?PlayerListQueryEvents@@YADIJHPAUsocket_state@@@Z,1,network
0x00401B20,?slave_events@@YADIJHPAUsocket_state@@@Z,3,network
0x00401ED9,caseD_3,1,network
0x00401F08,caseD_4,1,network
0x00401F27,caseD_7,1,network
0x00401F4B,caseD_8,1,network
0x00401FE1,caseD_b,1,network
0x00402032,caseD_0,1,network
0x00402048,caseD_2,1,network
0x00402063,caseD_d,1,network
0x0040208C,caseD_11,1,network
0x004020A2,caseD_12,1,network
0x004020F3,caseD_13,1,network
0x00402106,caseD_15,1,network
0x00402135,caseD_16,1,network
0x0040214A,caseD_1b,1,network
0x00402202,caseD_c,1,network
0x00402282,caseD_5,13,network
0x00402288,switchdataD_00402288,1,network
0x004022DC,switchdataD_004022dc,1,network
0x004022F0,switchdataD_004022f0,1,network
0x00403B26,caseD_0,1,
0x00403B47,caseD_1,1,
0x00403B81,caseD_2,1,
0x00403BD2,caseD_3,1,
0x00403C10,caseD_4,1,
0x00403C5E,caseD_5,1,
0x00403CAE,caseD_6,1,
0x00403CF7,caseD_8,1,
0x00403D64,caseD_a,1,
0x00403D75,caseD_17,1,
0x00403DAE,caseD_18,1,
0x00403DF1,caseD_19,1,
0x00403E36,caseD_1a,1,
0x00403E7B,caseD_1b,1,
0x00403EAE,caseD_1d,1,
0x00403F0D,caseD_1e,1,
0x00403F54,caseD_7,21,
0x004041E1,caseD_12,1,
0x0040426B,caseD_b,1,
0x0040428F,caseD_c,1,
0x004042A4,caseD_d,1,
0x004042B6,caseD_e,1,
0x0040432B,caseD_3,2,
0x00404344,caseD_4,1,
0x00404844,caseD_0,1,
0x0040486A,caseD_1,1,
0x00404895,caseD_2,1,
0x004048C7,caseD_3,1,
0x0040492E,default,15,
0x00404B66,caseD_1,1,
0x00404B70,caseD_0,1,
0x00404B7A,caseD_11,1,
0x00404BAC,switchdataD_00404bac,1,
0x00404BF0,switchdataD_00404bf0,1,
0x00404C14,<unnamed>,1,
0x00404C1C,<unnamed>,1,
0x00404C28,<unnamed>,1,
0x00404C38,<unnamed>,1,
0x00404C3E,<unnamed>,1,
0x00404C47,<unnamed>,1,
0x00404C4A,<unnamed>,1,
0x00404C4F,<unnamed>,1,
0x00404C5C,switchdataD_00404c5c,1,
0x00405217,caseD_ffffffff,1,
0x0040521E,caseD_0,1,
0x00405225,caseD_1,1,
0x0040522C,caseD_2,1,
0x00405233,caseD_3,1,
0x00405244,default,2,
0x00405344,switchdataD_00405344,1,
0x00405506,caseD_65,1,network
0x00405513,default,3,network
0x00405525,caseD_66,1,network
0x00405533,caseD_67,1,network
0x00405541,caseD_68,1,network
0x00405570,switchdataD_00405570,1,network
0x00405590,?RunTCPOptionsDialog@@YAXPAUCN_INFO@@PAD@Z,1,network
0x004071BC,caseD_1,1,hud
0x004071C3,caseD_3,1,hud
0x004071CA,caseD_4,1,hud
0x004071F2,caseD_5,1,hud
0x004071F7,default,5,hud
0x004075B4,<unnamed>,1,hud
0x004077C5,caseD_0,1,hud
0x004077CC,caseD_1,1,hud
0x004077D3,caseD_2,1,hud
0x004077DA,caseD_3,1,hud
0x004077E1,caseD_4,1,hud
0x004077E8,caseD_5,1,hud
0x004077EF,caseD_6,1,hud
0x004077F6,caseD_7,1,hud
0x004077FD,caseD_8,1,hud
0x00407804,caseD_9,1,hud
0x0040780B,caseD_a,1,hud
0x00407812,caseD_b,1,hud
0x00407817,default,12,hud
0x00407880,switchdataD_00407880,1,hud
0x004090A7,caseD_1,1,hud
0x004090AE,caseD_2,1,hud
0x004090B5,caseD_3,1,hud
0x004090BC,caseD_4,1,hud
0x004090C3,caseD_5,1,hud
0x004090CA,caseD_6,1,hud
0x004090D5,default,6,hud
0x004092B4,switchdataD_004092b4,1,hud
0x0040B110,?master_events@@YADIJHPAUsocket_state@@@Z,1,
0x0040B351,caseD_7,1,
0x0040B402,caseD_b,1,
0x0040B452,caseD_c,1,
0x0040B4AF,caseD_11,1,
0x0040B4CD,caseD_12,1,
0x0040B512,caseD_17,1,
0x0040B551,caseD_16,2,
0x0040B560,caseD_8,7,
0x0040B56B,caseD_19,1,
0x0040B5C0,switchdataD_0040b5c0,1,
0x0040D962,caseD_1,1,view
0x0040D9C8,caseD_2,1,view
0x0040DB61,caseD_3,1,view
0x0040DBDA,caseD_5,1,view
0x0040DC13,caseD_6,1,view
0x0040DD24,caseD_7,1,view
0x0040DE30,caseD_8,1,view
0x0040DE67,caseD_c,1,view
0x0040DF0D,caseD_d,1,view
0x0040DF51,caseD_e,1,view
0x0040E034,caseD_f,1,view
0x0040E0ED,caseD_0,5,view
0x0040E18B,caseD_4,14,view
0x0040E1F4,switchdataD_0040e1f4,1,view
0x0040E563,caseD_0,1,view
0x0040E5B8,caseD_1,1,view
0x0040E5DC,caseD_2,1,view
0x0040E5F0,caseD_3,1,view
0x0040E60F,caseD_5,1,view
0x0040E6A5,caseD_6,1,view
0x0040E6B1,caseD_7,1,view
0x0040E6BD,caseD_8,1,view
0x0040E6E4,caseD_9,1,view
0x0040E7C8,caseD_a,1,view
0x0040E7DE,caseD_c,1,view
0x0040E7E5,caseD_4,14,view
0x0040E8E4,switchdataD_0040e8e4,1,view
0x0040FE53,caseD_0,1,
0x0040FE92,caseD_1,1,
0x0040FED4,caseD_2,1,
0x0040FEF3,caseD_3,1,
0x0040FF17,caseD_4,1,
0x0040FF59,caseD_5,1,
0x0040FF65,caseD_7,1,
0x0040FF7F,caseD_8,1,
0x00410025,caseD_c,1,
0x0041006A,caseD_d,1,
0x004100AC,caseD_e,1,
0x004100D3,caseD_f,1,
0x004100E5,caseD_10,1,
0x004100F7,caseD_11,1,
0x00410109,caseD_12,1,
0x00410129,caseD_13,1,
0x0041017F,caseD_14,1,
0x004101A6,caseD_15,1,
0x004101FC,caseD_16,1,
0x0041021C,caseD_17,1,
0x00410272,caseD_18,1,
0x004102BC,caseD_19,1,
0x004102DE,caseD_1a,1,
0x004102EC,caseD_1b,1,
0x004102FA,caseD_1c,1,
0x0041030C,caseD_1e,1,
0x00410320,caseD_1f,1,
0x00410396,caseD_20,1,
0x004103AA,caseD_21,1,
0x004103F1,caseD_23,1,
0x00410448,caseD_7,1,
0x00410499,caseD_8,1,
0x004104C1,caseD_9,1,
0x00410578,caseD_a,1,
0x004105A8,default,5,
0x004105AF,caseD_22,2,
0x004105DB,caseD_6,36,
0x004105E2,caseD_a,13,
0x00410600,switchdataD_00410600,1,
0x00410604,<unnamed>,1,
0x00410680,<unnamed>,1,
0x004106B0,switchdataD_004106b0,1,
0x004112C0,caseD_1,1,
0x004112C6,caseD_2,1,
0x004112CC,caseD_3,1,
0x004112D2,caseD_4,1,
0x004112DD,default,4,
0x00411309,caseD_0,2,
0x00411310,switchdataD_00411310,1,
0x00412AC0,@StringForLanguage@8,2,ai
0x004138D1,default,1,
0x004138D4,caseD_0,1,
0x004138D7,caseD_1,1,
0x004138F0,caseD_3,1,
0x004138FE,caseD_4,1,
0x0041390C,switchdataD_0041390c,1,
0x0041398C,caseD_0,1,
0x00413994,caseD_1,1,
0x00413A14,caseD_2,1,
0x00413AA7,caseD_3,1,
0x00413B18,caseD_4,1,
0x00413B41,default,13,
0x00413B4C,switchdataD_00413b4c,1,
0x00414988,caseD_21,1,
0x00414997,caseD_22,1,
0x004149A6,caseD_23,1,
0x004149B5,caseD_24,1,
0x004149C4,caseD_25,1,
0x004149D3,caseD_26,1,
0x004149E2,caseD_27,1,
0x00414A08,caseD_28,1,
0x00414A17,caseD_29,1,
0x00414A26,caseD_2a,1,
0x00414A35,caseD_2c,1,
0x00414A4B,caseD_2e,1,
0x00414A64,caseD_2f,1,
0x00414A9E,caseD_30,1,
0x00414AAC,caseD_3a,1,
0x00414ABB,caseD_3b,1,
0x00414AC7,caseD_40,1,
0x00414AF1,caseD_41,1,
0x00414B76,caseD_45,1,
0x00414D5C,caseD_46,1,
0x00414D81,caseD_47,1,
0x00414E06,caseD_49,1,
0x00414E2B,caseD_4a,1,
0x00414EE9,caseD_4b,1,
0x00414FAF,caseD_52,2,
0x0041506E,caseD_54,1,
0x004150B2,caseD_57,1,
0x004150D6,caseD_58,1,
0x00415102,caseD_5a,1,
0x00415110,caseD_5b,1,
0x00415150,caseD_5c,1,
0x0041518D,caseD_5e,1,
0x0041519C,caseD_61,1,
0x004152F7,caseD_62,1,
0x00415319,caseD_64,1,
0x00415323,caseD_66,1,
0x00415346,caseD_67,1,
0x00415363,caseD_68,1,
0x00415381,caseD_69,1,
0x00415424,caseD_6a,1,
0x004154C7,caseD_6d,1,
0x0041556F,caseD_6e,1,
0x00415589,caseD_6f,1,
0x0041559E,caseD_72,1,
0x00415655,caseD_74,1,
0x0041569F,caseD_75,1,
0x004156A9,caseD_76,1,
0x004156B3,caseD_77,1,
0x004156DA,caseD_78,1,
0x004156EE,caseD_79,1,
0x0041575A,caseD_7a,1,
0x0041576B,caseD_7b,1,
0x00415786,caseD_7d,1,
0x004157D5,caseD_2b,48,
0x00415CEC,switchdataD_00415cec,1,
0x0041771F,default,1,
0x00417728,caseD_0,1,
0x00417731,caseD_1,1,
0x0041773A,caseD_2,1,
0x00417743,caseD_3,1,
0x00417754,<unnamed>,1,
0x00419243,default,1,
0x00419250,caseD_1,1,
0x0041925D,caseD_2,1,
0x0041926A,caseD_4,1,
0x00419370,switchdataD_00419370,1,
0x0041B0D1,caseD_1,1,
0x0041B139,caseD_2,1,
0x0041B18D,caseD_3,1,
0x0041B1E1,caseD_4,1,
0x0041B2D6,caseD_5,1,
0x0041B336,switchdataD_0041b336,1,
0x0041B34A,default,2,
0x0041E5A7,caseD_44,1,
0x0041E5B9,caseD_48,1,
0x0041E5CA,caseD_4a,1,
0x0041E5DC,caseD_4d,1,
0x0041E608,caseD_4e,1,
0x0041E631,caseD_45,4,
0x0041E670,switchdataD_0041e670,1,
0x0041E69C,switchdataD_0041e69c,1,
0x0041F8E2,caseD_1d,2,
0x0041F8E5,caseD_13,1,
0x0041F8EB,caseD_14,1,
0x0041F8F1,caseD_15,1,
0x0041F8F7,caseD_16,1,
0x0041F8FD,caseD_17,1,
0x0041F903,caseD_18,1,
0x0041F909,caseD_19,1,
0x0041F90F,caseD_1a,1,
0x0041F915,caseD_1b,1,
0x0041F91B,caseD_1c,1,
0x0041F921,caseD_1f,1,
0x0041F927,caseD_20,1,
0x0041F92D,caseD_21,1,
0x0041F933,caseD_29,1,
0x0041F939,caseD_2a,1,
0x0041F93F,caseD_2b,1,
0x0041F945,caseD_2c,1,
0x0041F94B,caseD_2d,1,
0x0041F951,caseD_2e,1,
0x0041F957,caseD_39,1,
0x0041F974,caseD_0,1,
0x0041F97A,caseD_1,1,
0x0041F980,caseD_2,1,
0x0041F986,caseD_4,1,
0x0041F98C,caseD_7,1,
0x0041F992,caseD_8,1,
0x0041F998,caseD_b,1,
0x0041F99E,caseD_e,1,
0x0041F9A4,caseD_f,1,
0x0041F9AA,caseD_3c,1,
0x0041F9BD,caseD_3d,1,
0x0041F9C3,caseD_50,1,
0x0041F9C9,caseD_51,1,
0x0041F9CF,caseD_52,1,
0x0041F9D5,caseD_53,1,
0x0041F9DB,caseD_54,1,
0x0041F9E1,caseD_55,1,
0x0041F9E7,caseD_56,1,
0x0041F9ED,caseD_57,1,
0x0041F9F3,caseD_58,1,
0x0041F9F9,caseD_59,1,
0x0041F9FF,caseD_3a,3,
0x0041FA08,switchdataD_0041fa08,1,
0x0041FB24,switchdataD_0041fb24,1,
0x0041FB4C,switchdataD_0041fb4c,1,
0x0041FF29,default,1,
0x0041FF3C,caseD_0,1,
