slug,range,bytes,bytes_in_functions,functions
objects,0x462600-0x464660,8288,7786,47
objects,0x4A6EB0-0x4A7240,912,896,6
objects,0x473A40-0x473DA0,864,840,4
objects,0x491240-0x491AA0,2144,2007,18
renderer,0x45DBD0-0x45E460,2192,1984,14
renderer,0x497330-0x499380,8272,7290,59
renderer,0x4B7900-0x4BA700,11776,11336,35
flight-model,0x451480-0x454800,13184,12054,62
hud,0x405E30-0x40AE50,20512,20160,49
weapons,0x4C0690-0x4C5D30,22176,21438,59
ai,0x464C60-0x467110,9392,8024,122
wingman,0x45E460-0x45FEC0,6752,5127,40
campaign,0x421D40-0x421DD0,144,138,1
campaign,0x421DE0-0x4221D0,1008,967,3
campaign,0x422230-0x422300,208,202,1
campaign,0x422350-0x422380,48,36,1
campaign,0x4224B3-0x4224EE,59,59,1
campaign,0x42256A-0x42267F,277,277,3
campaign,0x4226CB-0x4226F0,37,37,2
campaign,0x422828-0x422851,41,41,2
campaign,0x42297E-0x422A0D,143,143,1
campaign,0x422A71-0x42B800,36239,34409,86
campaign,0x467240-0x4672C0,128,122,1
campaign,0x4674F0-0x4678B0,960,936,3
campaign,0x467E30-0x467F30,256,251,1
campaign,0x468C40-0x469960,3360,914,7
campaign,0x46A57B-0x46A640,197,191,1
campaign,0x47A510-0x47A5A0,144,143,1
campaign,0x47FAAE-0x47FEC0,1042,1028,1
campaign,0x4805AC-0x480690,228,215,1
campaign,0x4809D0-0x480A30,96,85,1
campaign,0x481920-0x481940,32,32,1
campaign,0x481A7B-0x481B80,261,250,1
campaign,0x483C90-0x484D90,4352,300,4
campaign,0x485380-0x4854E0,352,340,2
campaign,0x4856F0-0x485820,304,303,1
campaign,0x4867D0-0x486810,64,50,1
campaign,0x486BF0-0x486C60,112,99,1
campaign,0x486DC0-0x486DF0,48,46,1
network,0x4016C0-0x402300,3136,2223,9
network,0x402330-0x402380,80,62,2
network,0x4024D0-0x402640,368,361,1
network,0x405360-0x4053D0,112,92,2
network,0x4054F0-0x405E30,2368,451,4
network,0x45D090-0x45DBD0,2880,2087,23
network,0x46BD90-0x46BDE0,80,80,1
network,0x46C0A0-0x46C150,176,171,1
network,0x46C28C-0x46C470,484,474,1
network,0x46C680-0x46C910,656,639,3
network,0x46C980-0x46EED0,9552,9224,10
network,0x46EEDF-0x46FDB0,3793,3747,5
network,0x46FF20-0x46FF70,80,68,1
network,0x47001C-0x470150,308,300,1
network,0x4701AC-0x470250,164,161,1
network,0x47025C-0x470560,772,769,1
network,0x470780-0x4708B0,304,209,1
network,0x4715BC-0x4719E0,1060,1031,3
network,0x471A90-0x471BD0,320,306,2
network,0x471BDF-0x472260,1665,1600,3
network,0x472670-0x472A90,1056,1055,2
network,0x4735D0-0x473680,176,167,1
network,0x499F70-0x499F90,32,21,1
network,0x49A000-0x49A380,896,541,7
network,0x49A3E0-0x49A520,320,272,5
network,0x49A660-0x49A850,496,435,4
network,0x49A9B0-0x49AD70,960,941,3
network,0x49AF30-0x49B1D0,672,464,3
network,0x4AC180-0x4AC3E0,608,555,5
network,0x4AC480-0x4AC510,144,140,1
sound,0x4328B0-0x435C60,13232,12847,53
terrain,0x4A7310-0x4ABBE2,18642,17797,75
terrain,0x4C5D30-0x4C60E8,952,870,9
collision,0x42B800-0x42E680,11904,11727,21
memory-resource,0x435C60-0x43631C,1724,1451,33
memory-resource,0x4A67F0-0x4A6E46,1622,1509,17
input,0x494270-0x494BB0,2368,2264,10
input,0x499CF0-0x499F70,640,562,8
input,0x49B1D0-0x49D1B0,8160,4556,2
shell-ui,0x40B8A0-0x40BA10,368,362,1
shell-ui,0x40BC20-0x40C290,1648,1561,10
shell-ui,0x40C410-0x40D7A0,5008,4795,29
shell-ui,0x42E680-0x42E720,160,145,2
shell-ui,0x42E9A0-0x42F2E0,2368,2356,1
shell-ui,0x432F80-0x432F8B,11,11,1
shell-ui,0x433170-0x433180,16,10,1
shell-ui,0x47F0B0-0x47F100,80,76,1
shell-ui,0x47FA30-0x47FA50,32,23,1
shell-ui,0x487A3A-0x489170,5942,5748,16
shell-ui,0x4891A0-0x48D2B0,16656,13371,72
shell-ui,0x4A08A0-0x4A0FE0,1856,1666,1
shell-ui,0x4A26F0-0x4A2A30,832,773,2
startup,0x4D715A-0x4E8A2F,71893,55326,338
video,0x456300-0x45CDA0,27296,27119,24
render-core,0x4CD588-0x4D6C00,38520,32537,163
seq,0x444F70-0x446D90,7712,7455,36
seq,0x446F10-0x4471E0,720,696,3
