va,name,size
0x20001000,FUN_20001000,15
0x20001010,FUN_20001010,8
0x20001020,FUN_20001020,218
0x20001100,FUN_20001100,173
0x20001300,FUN_20001300,7
0x20001310,FUN_20001310,7
0x20001370,FUN_20001370,6
0x20001380,FUN_20001380,311
0x200014C0,FUN_200014c0,25
0x200014E0,FUN_200014e0,49
0x20001520,FUN_20001520,26
0x20001540,FUN_20001540,56
0x20001580,FUN_20001580,27
0x200015A0,FUN_200015a0,30
0x200015C0,FUN_200015c0,27
0x200015E0,FUN_200015e0,30
0x20001600,FUN_20001600,21
0x20001620,FUN_20001620,30
0x20001640,FUN_20001640,13
0x20001650,FUN_20001650,6
0x20001660,_DllMain@12,55
0x20001770,FUN_20001770,246
0x20001870,FUN_20001870,25
0x20001890,FUN_20001890,218
0x20001970,FUN_20001970,76
0x200019C0,_AIL_startup@0,508
0x20001BC0,FUN_20001bc0,291
0x20001CF0,_AIL_shutdown@0,229
0x20001DE0,FUN_20001de0,17
0x20001E00,_MEM_alloc_lock@4,266
0x20001F10,_MEM_free_lock@4,141
0x20001FA0,_AIL_set_preference@8,276
0x200020C0,_AIL_get_preference@4,269
0x200021D0,_AIL_last_error@0,256
0x200022D0,_AIL_set_error@4,141
0x20002360,_AIL_lock@0,26
0x20002380,_AIL_unlock@0,26
0x200023A0,_AIL_delay@4,127
0x20002420,_AIL_background@0,5
0x20002430,_AIL_register_timer@4,269
0x20002540,_AIL_set_timer_user@8,276
0x20002660,_AIL_set_timer_period@8,151
0x20002700,_AIL_set_timer_frequency@8,151
0x200027A0,_AIL_set_timer_divisor@8,151
0x20002840,_AIL_start_timer@4,141
0x200028D0,_AIL_start_all_timers@0,126
0x20002950,_AIL_stop_timer@4,141
0x200029E0,_AIL_stop_all_timers@0,126
0x20002A60,_AIL_release_timer_handle@4,141
0x20002AF0,_AIL_release_all_timers@0,126
0x20002B70,_AIL_waveOutOpen@16,320
0x20002CB0,_AIL_waveOutClose@4,165
0x20002D60,_AIL_allocate_sample_handle@4,285
0x20002E80,_AIL_allocate_file_sample@12,292
0x20002FB0,_AIL_release_sample_handle@4,165
0x20003060,_AIL_init_sample@4,165
0x20003110,_AIL_set_sample_file@12,292
0x20003240,_AIL_set_sample_address@12,176
0x200032F0,_AIL_set_sample_type@12,176
0x200033A0,_AIL_start_sample@4,165
0x20003450,_AIL_stop_sample@4,165
0x20003500,_AIL_resume_sample@4,165
0x200035B0,_AIL_end_sample@4,165
0x20003660,_AIL_set_sample_playback_rate@8,176
0x20003710,_AIL_set_sample_volume@8,176
0x200037C0,_AIL_set_sample_pan@8,176
0x20003870,_AIL_set_sample_loop_count@8,176
0x20003920,_AIL_set_sample_loop_block@12,176
0x200039D0,_AIL_sample_status@4,285
0x20003AF0,_AIL_sample_playback_rate@4,285
0x20003C10,_AIL_sample_volume@4,285
0x20003D30,_AIL_sample_pan@4,285
0x20003E50,_AIL_sample_loop_count@4,285
0x20003F70,_AIL_set_digital_master_volume@8,176
0x20004020,_AIL_digital_master_volume@4,285
0x20004140,_AIL_minimum_sample_buffer_size@12,308
0x20004280,_AIL_sample_buffer_ready@4,285
0x200043A0,_AIL_load_sample_buffer@16,188
0x20004460,_AIL_sample_buffer_info@20,332
0x200045B0,_AIL_set_sample_position@8,176
0x20004660,_AIL_sample_position@4,285
0x20004780,_AIL_register_SOB_callback@8,292
0x200048B0,_AIL_register_EOB_callback@8,292
0x200049E0,_AIL_register_EOS_callback@8,292
0x20004B10,_AIL_register_EOF_callback@8,276
0x20004C30,_AIL_set_sample_user_data@12,176
0x20004CE0,_AIL_sample_user_data@8,292
0x20004E10,_AIL_active_sample_count@4,285
0x20004F30,_AIL_digital_configuration@16,188
0x20004FF0,_AIL_set_direct_buffer_control@8,275
0x20005110,_AIL_get_DirectSound_info@12,139
0x200051A0,_AIL_midiOutOpen@12,297
0x200052D0,_AIL_midiOutClose@4,141
0x20005360,_AIL_allocate_sequence_handle@4,269
0x20005470,_AIL_release_sequence_handle@4,141
0x20005500,_AIL_init_sequence@12,292
0x20005630,_AIL_start_sequence@4,141
0x200056C0,_AIL_stop_sequence@4,141
0x20005750,_AIL_resume_sequence@4,141
0x200057E0,_AIL_end_sequence@4,141
0x20005870,_AIL_set_sequence_tempo@12,160
0x20005910,_AIL_set_sequence_volume@12,160
0x200059B0,_AIL_set_sequence_loop_count@8,151
0x20005A50,_AIL_sequence_status@4,269
0x20005B60,_AIL_sequence_tempo@4,269
0x20005C70,_AIL_sequence_volume@4,269
0x20005D80,_AIL_sequence_loop_count@4,269
0x20005E90,_AIL_set_XMIDI_master_volume@8,151
0x20005F30,_AIL_XMIDI_master_volume@4,269
0x20006040,_AIL_active_sequence_count@4,269
0x20006150,_AIL_controller_value@12,292
0x20006280,_AIL_channel_notes@8,276
0x200063A0,_AIL_sequence_position@12,287
0x200064C0,_AIL_branch_index@8,151
0x20006560,_AIL_register_prefix_callback@8,276
0x20006680,_AIL_register_trigger_callback@8,276
0x200067A0,_AIL_register_sequence_callback@8,276
0x200068C0,_AIL_register_beat_callback@8,276
0x200069E0,_AIL_register_event_callback@8,276
0x20006B00,_AIL_register_timbre_callback@8,276
0x20006C20,_AIL_set_sequence_user_data@12,160
0x20006CC0,_AIL_sequence_user_data@8,276
0x20006DE0,_AIL_register_ICA_array@8,151
0x20006E80,_AIL_lock_channel@4,269
0x20006F90,_AIL_release_channel@8,151
0x20007030,_AIL_map_sequence_channel@12,160
