va,name,size
0x00401000,_explode,373
0x00401180,FUN_00401180,250
0x00401280,FUN_00401280,426
0x00401430,FUN_00401430,126
0x004014B0,FUN_004014b0,144
0x00401540,FUN_00401540,58
0x00401580,FUN_00401580,244
0x00401680,FUN_00401680,55
0x004016C0,?NET_SlaveInit@@YADPAUCN_INFO@@PAUNET_ADDRESS@@PADPAXP6AX3W4PLAYER_ACTION@@21J@Z3P6AX3W4NET_CONNECTED_STATE@@@ZH@Z,188
0x00401780,?NET_SlaveShutdown@@YAXXZ,35
0x004017B0,?NET_RequestPlayerList@@YADPAUNET_ADDRESS@@PAXP6AX1W4PLAYER_ACTION@@PAD0J@Z1P6AX1W4NET_CONNECTED_STATE@@@Z@Z,148
0x00401850,?NET_CancelPlayerList@@YAXXZ,44
0x004019A0,?player_list_process_pkt@@YAXPAUNET_PKT@@PAUsocket_state@@@Z,179
0x00401A60,FUN_00401a60,187
0x00401CD0,?handle_slave_connection_failed@@YAXPAUsocket_state@@@Z,344
0x00401E30,FUN_00401e30,114
0x00401EB0,?slave_process_pkt@@YAXPAUNET_PKT@@PAUsocket_state@@@Z,984
0x00402300,FUN_00402300,31
0x00402330,FUN_00402330,34
0x00402360,FUN_00402360,28
0x00402380,FUN_00402380,16
0x004024D0,FUN_004024d0,361
0x00402640,FUN_00402640,266
0x00402770,FUN_00402770,91
0x00402ED0,FUN_00402ed0,331
0x00403700,?usnfmain@@YAXXZ,5290
0x00404C70,?FlyingLoop@@YAXXZ,1747
0x00405360,FUN_00405360,56
0x004053A0,FUN_004053a0,36
0x004053D0,?IFMSetTime@@YAXD@Z,181
0x00405490,?VDOInit@@YIXXZ,31
0x004054B0,?ZeroFrame@@YGXPAEJJF@Z,51
0x004054F0,?netDialogAppIO@@YAJJPAD@Z,127
0x00405CD0,FUN_00405cd0,51
0x00405D10,?ip2long@@YADPADPAK@Z,222
0x00405DF0,?RunNetConfigurationScreen@@YGXJ@Z,51
0x00405E30,_HUDInitMessages@0,18
0x00405E50,?HUDDrawMessages@@YGXD@Z,241
0x00405F50,_HUDMessage@4,191
0x00406010,_HUDReprintMessages@0,44
0x00406040,_HUDInit@0,2257
0x00406920,_HUDRevive@0,42
0x00406950,_HUDShutdown@0,243
0x00406A50,_HUDDraw@4,14
0x00406A5E,FUN_00406a5e,2897
0x004075D0,FUN_004075d0,14
0x004075DE,FUN_004075de,462
0x004077B0,@HUDSetWarning@8,207
0x004078B0,FUN_004078b0,127
0x00407930,FUN_00407930,203
0x00407A00,FUN_00407a00,347
0x00407B60,?HUDDrawHeading@@YIXXZ,850
0x00407EC0,?HUDSpeedToY@@YIJJ@Z,30
0x00407EE0,?HUDDrawSpeed@@YIXXZ,1311
0x00408400,?HUDAltToY@@YIJJ@Z,30
0x00408420,?HUDDrawAlt@@YIXXZ,1296
0x00408930,@InitScreenMove@4,106
0x004089A0,FUN_004089a0,735
0x00408C80,FUN_00408c80,11
0x00408C8B,FUN_00408c8b,402
0x00408E20,?HUDDrawHVel@@YIXXZ,516
0x00409030,?HUDDrawWeaponInfo@@YIXXZ,11
0x0040903B,FUN_0040903b,631
0x004092D0,?HUDDrawRangeInfo@@YIXXZ,1164
0x00409760,FUN_00409760,420
0x00409910,FUN_00409910,11
0x0040991B,FUN_0040991b,717
0x00409BF0,FUN_00409bf0,11
0x00409BFB,FUN_00409bfb,813
0x00409F30,FUN_00409f30,1311
0x0040A450,@HUDSquawk@0,212
0x0040A530,@HUDFindNearest@8,389
0x0040A6C0,FUN_0040a6c0,298
0x0040A7F0,FUN_0040a7f0,709
0x0040AAC0,@HUDBrightness@4,69
0x0040AB10,_HUDSetFont@0,31
0x0040AB30,_HUDSetSymFont@0,31
0x0040AB50,_HUDSetWinFont@0,31
0x0040AB70,@HUDSetDisrupt@4,59
0x0040ABB0,?HUDDrawDisrupt@@YIXXZ,205
0x0040AC80,?HUDSetStability@@YIJXZ,90
0x0040ACE0,?HUDDrawStability@@YIXXZ,93
0x0040AD40,@ComputeBombPosition@4,11
