slug,range,bytes,bytes_in_functions,functions
objects,0x462600-0x464660,8288,7786,47
objects,0x4A6EB0-0x4A7240,912,896,6
objects,0x473A40-0x473DA0,864,840,4
objects,0x491240-0x491AA0,2144,2007,18
renderer,0x45DBD0-0x45E460,2192,1984,14
renderer,0x497330-0x499380,8272,7290,59
renderer,0x4B7900-0x4BA700,11776,11336,35
flight-model,0x451480-0x454800,13184,12054,62
hud,0x405E30-0x40AE50,20512,20160,49
weapons,0x4C0690-0x4C5D30,22176,20846,58
ai,0x464C60-0x467110,9392,8024,122
wingman,0x45E460-0x460FB0,11088,9332,43
campaign,0x421C70-0x42B800,39824,37711,114
campaign,0x467110-0x490000,167664,131531,491
network,0x401000-0x405E30,20016,12900,36
network,0x45D090-0x45DBD0,2880,2087,23
network,0x46ADE0-0x473680,34976,33508,117
sound,0x432920-0x435F80,13920,12580,54
terrain,0x4A6E50-0x4C5D70,126752,89660,365
collision,0x42B800-0x42E690,11920,11619,21
memory-resource,0x435C60-0x436320,1728,1406,29
memory-resource,0x4A67F0-0x4A6E50,1632,1509,17
input,0x494270-0x4AC510,98976,85275,319
shell-ui,0x40AE50-0x421C70,93728,84913,290
shell-ui,0x487A3A-0x48D200,22470,11730,58
startup,0x4D5C00-0x4E8B66,77670,60196,354
video,0x456300-0x45D090,28048,27858,25
render-core,0x4C5D70-0x4D6C00,69264,59506,254
