va,kind,name,display,source,confidence,notes,type
0x00464C60,func,_CTInit@0,CTInit,sms,confirmed,,undefined4 __stdcall CTInit(void)
0x00464C80,func,_CTShutdown@0,CTShutdown,sms,confirmed,,undefined4 __stdcall CTShutdown(void)
0x00464C90,func,_CTRespondToCancelCmdBuf@0,CTRespondToCancelCmdBuf,sms,confirmed,,undefined4 __stdcall CTRespondToCancelCmdBuf(void)
0x00464CD0,func,CTLoadProgram,,re,confirmed,"load/switch the BI CODE resource by name (RMAccess 0x8000); set IP=base, CTResetPC; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand",u8 __fastcall CTLoadProgram(char)
0x00464DB0,func,CTResetPC,,re,confirmed,reset IP=base and line=1; if arg!=0 also zero stack depth; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __fastcall CTResetPC(char)
0x00464DE0,func,_CTVarDiff,CTVarDiff,sms,confirmed,,undefined4 __cdecl CTVarDiff(undefined4)
0x00464E20,func,_CTEval_time,CTEval_time,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function,
0x00464E30,func,_CTEval_do_nothing,CTEval_do_nothing,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_do_nothing(void)
0x00464E40,func,_CTEval_do_evade,CTEval_do_evade,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_do_evade(void)
0x00464E50,func,_CTEval_do_attack,CTEval_do_attack,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_do_attack(void)
0x00464E60,func,_CTEval_do_radar_launch,CTEval_do_radar_launch,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_do_radar_launch(void)
0x00464E70,func,_CTEval_do_ir_launch,CTEval_do_ir_launch,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_do_ir_launch(void)
0x00464E80,func,_CTEval_do_hit,CTEval_do_hit,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_do_hit(void)
0x00464E90,func,_CTEval_tgtattackingme,CTEval_tgtattackingme,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,undefined4 __cdecl CTEval_tgtattackingme(void)
0x00464ED0,func,_CTEval_tgtattackinganyone,CTEval_tgtattackinganyone,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,undefined4 __cdecl CTEval_tgtattackinganyone(void)
0x00464F10,func,_CTEval_tgt,CTEval_tgt,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,undefined4 __cdecl CTEval_tgt(void)
0x00464F50,func,_CTEval_tgtclass,CTEval_tgtclass,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u16 __cdecl CTEval_tgtclass(void)
0x00464F90,func,_CTEval_tgtisfighter,CTEval_tgtisfighter,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_tgtisfighter(void)
0x00464FB0,func,_CTEval_tgtisbomber,CTEval_tgtisbomber,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_tgtisbomber(void)
0x00464FD0,func,_CTEval_tgtisplane,CTEval_tgtisplane,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_tgtisplane(void)
0x00464FF0,func,_CTEval_tgtisship,CTEval_tgtisship,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_tgtisship(void)
0x00465000,func,_CTEval_tgtissam,CTEval_tgtissam,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_tgtissam(void)
0x00465010,func,_CTEval_tgtisaaa,CTEval_tgtisaaa,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_tgtisaaa(void)
0x00465020,func,_CTEval_tgthumancontrol,CTEval_tgthumancontrol,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u8 __cdecl CTEval_tgthumancontrol(void)
0x00465040,func,_CTEval_maxrange,CTEval_maxrange,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_maxrange(void)
0x00465060,func,_CTEval_maxrangediff,CTEval_maxrangediff,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_maxrangediff(void)
0x00465080,func,_CTEval_bestrange,CTEval_bestrange,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_bestrange(void)
0x00465090,func,_CTEval_bestrangediff,CTEval_bestrangediff,sms,inferred,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_bestrangediff(void)
0x004650A0,func,_CTEval_radar,CTEval_radar,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_radar(void)
0x004650B0,func,_CTEval_tgtradar,CTEval_tgtradar,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,undefined4 __cdecl CTEval_tgtradar(void)
0x004650E0,func,_CTEval_ir,CTEval_ir,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u32 __cdecl CTEval_ir(void)
0x004650F0,func,_CTEval_tgtir,CTEval_tgtir,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,undefined4 __cdecl CTEval_tgtir(void)
0x00465120,func,_CTEval_tgtoffbeam,CTEval_tgtoffbeam,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_tgtoffbeam(void)
0x00465150,func,_CTEval_tgtahead,CTEval_tgtahead,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_tgtahead(void)
0x00465180,func,_CTEval_tgtfacing,CTEval_tgtfacing,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_tgtfacing(void)
0x004651D0,func,_CTEval_hrzdisttotgt,CTEval_hrzdisttotgt,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_hrzdisttotgt(void)
0x00465220,func,_CTEval_disttotgt,CTEval_disttotgt,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_disttotgt(void)
0x00465240,func,_CTEval_htotgt,CTEval_htotgt,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_htotgt(void)
0x00465290,func,_CTEval_ptotgt,CTEval_ptotgt,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_ptotgt(void)
0x004652E0,func,_CTEval_tgtaspectangle,CTEval_tgtaspectangle,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_tgtaspectangle(void)
0x00465380,func,_CTEval_canclimb,CTEval_canclimb,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char __cdecl CTEval_canclimb(void)
0x004653A0,func,_CTEval_speed,CTEval_speed,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_speed(void)
0x004653B0,func,_CTEval_speeddiff,CTEval_speeddiff,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_speeddiff(void)
0x004653D0,func,_CTEval_minspeed,CTEval_minspeed,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function,
0x004653E0,func,_CTEval_minspeeddiff,CTEval_minspeeddiff,sms,inferred,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_minspeeddiff(void)
0x004653F0,func,_CTEval_cornerspeed,CTEval_cornerspeed,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function,
0x00465400,func,_CTEval_corner,CTEval_corner,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function,
0x00465410,func,_CTEval_cornerspeeddiff,CTEval_cornerspeeddiff,sms,inferred,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_cornerspeeddiff(void)
0x00465420,func,_CTEval_maxrudderh,CTEval_maxrudderh,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,int __cdecl CTEval_maxrudderh(void)
