va,kind,name,display,source,confidence,notes,type
0x00421D40,func,ZONEActive,,re,inferred,"zone active-window test: currentTime within [start,end] (param[7],param[8]); gate for ZONEUpdate",
0x00421DE0,func,ZONEServiceRange,,re,inferred,per-zone service worker (variant of _ZONEUpdate@0 over a range); fires _PROJAdd/_PROJHit/_GRAPHICAddExp on schedule using _Rand/_Percent,
0x00422100,data,,,waiver,confirmed,MAPScreen switch jump-table (computed access),
0x00422120,func,ZONEPickTarget,,re,inferred,resolve a target plane index for a zone from _planes/_numPlanes (base &DAT_005713a6),undefined4 __stdcall ZONEPickTarget(undefined4)
0x00422190,func,MAPWPListBounds,,re,confirmed,"walk a waypoint list: find head via flag bit0(&1), count entries to tail via bit1(&2); stride 0x44","undefined4 __stdcall MAPWPListBounds(undefined4, undefined4, undefined4)"
0x00422230,func,MAPAdjustObjAlt,,re,inferred,raise current object altitude (DAT_0050ce95) to terrain via _T_Info; helper of @MAPObjAlts@4,
0x00422350,func,MAPMarkDirty,,re,inferred,"clear DAT_00536720 hover, set DAT_00536518 redraw flag",
0x004224B3,func,MAPScreenToWorld,,re,confirmed,inverse of _MAPWorldToScreen: screen point * _mapScale + _worldCenter,
0x0042256A,func,MAPLoadBG,,re,inferred,load theater map background bitmap via _RMAccessHandle into DAT_004f0564 (alloc-id 7),
0x004225D4,func,MAPRefreshBG,,re,inferred,reload map BG if theater name (_th+0x54) changed; recomputes map extents DAT_00536418.._00536430,
0x00422667,func,MAPFreeBG,,re,inferred,free the map background handle DAT_004f0564,
0x004226CB,func,MAPSetObjWP,,re,inferred,set an object's active waypoint pointer (+0xe4); helper of @MAPUpdateWPPtrs@8,
0x004226EE,func,MAPSetFormationWP,,re,inferred,set new WP for an object plus its wing (_WNGPart) and group (_GRPPart) members,
0x00422828,func,MAPClearSelection,,re,confirmed,clear map selection state: DAT_00536500 obj / _00536514 wp / _00536530 special / _005363e8 mode,
0x00422840,func,MAPClearHover,,re,inferred,"17-byte map-state setter (clears hover/redraw); role low-confidence, revisit",
0x0042297E,func,MAPAddSpecial,,re,inferred,allocate a 0x3a-byte 'special' map marker into the _specials/DAT_0053665c table,"undefined4 __stdcall MAPAddSpecial(undefined4, undefined4, undefined4, undefined4, undefined4)"
0x00422A71,func,MAPScreen,,re,confirmed,"mission-map/planning screen main loop (_curScreen==3); CAM.md 'FUN_00422a71'. Loads mc_menu/mc_dlg, drives waypoint/plane edit, save-mission, slew view",
