va,kind,name,display,source,confidence,notes,type
0x10001000,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10001070,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10001100,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10001150,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10001180,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10001370,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10001510,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100016D0,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100019D0,func,ser_rs232_block,ser_rs232_block,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall ser_rs232_block(undefined4)
0x100019E0,func,ser_rs232_cleanup,ser_rs232_cleanup,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall ser_rs232_cleanup(undefined4)
0x10001A90,func,ser_rs232_dtr_off,ser_rs232_dtr_off,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall ser_rs232_dtr_off(undefined4)
0x10001AE0,func,ser_rs232_dtr_on,ser_rs232_dtr_on,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall ser_rs232_dtr_on(undefined4)
0x10001B30,func,ser_rs232_flush,ser_rs232_flush,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_flush(undefined4, undefined4)"
0x10001C50,func,ser_rs232_getbyte,ser_rs232_getbyte,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall ser_rs232_getbyte(undefined4)
0x10001D20,func,ser_rs232_getpacket,ser_rs232_getpacket,re,confirmed,Cdrv comms driver (RS-232 serial) public export,
0x10001DF0,func,ser_rs232_getport,ser_rs232_getport,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_getport(undefined4, undefined4)"
0x10001E50,func,ser_rs232_getregister,ser_rs232_getregister,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_getregister(undefined4, undefined4, undefined4)"
0x10001EB0,func,ser_rs232_getstatus,ser_rs232_getstatus,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_getstatus(undefined4, undefined4)"
0x10001F00,func,ser_rs232_maxport,ser_rs232_maxport,re,confirmed,Cdrv comms driver (RS-232 serial) public export,
0x10001F10,func,ser_rs232_putbyte,ser_rs232_putbyte,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_putbyte(undefined4, undefined4)"
0x10001FE0,func,ser_rs232_putpacket,ser_rs232_putpacket,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_putpacket(undefined4, undefined4, undefined4)"
0x100020B0,func,ser_rs232_putregister,ser_rs232_putregister,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_putregister(undefined4, undefined4, undefined4)"
0x100020C0,func,ser_rs232_rts_off,ser_rs232_rts_off,re,confirmed,Cdrv comms driver (RS-232 serial) public export,
0x10002110,func,ser_rs232_rts_on,ser_rs232_rts_on,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall ser_rs232_rts_on(undefined4)
0x10002160,func,ser_rs232_set_intfunc,ser_rs232_set_intfunc,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_set_intfunc(undefined4, undefined4, undefined4)"
0x100021D0,func,ser_rs232_misc_func,ser_rs232_misc_func,re,confirmed,Cdrv comms driver (RS-232 serial) public export,
0x10002420,func,ser_rs232_setbauddiv,ser_rs232_setbauddiv,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_setbauddiv(undefined4, undefined4, undefined4)"
0x10002450,func,ser_rs232_setup,ser_rs232_setup,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_setup(undefined4, undefined4)"
0x10002B10,func,ser_rs232_viewpacket,ser_rs232_viewpacket,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall ser_rs232_viewpacket(undefined4, undefined4, undefined4)"
0x10002B80,func,ser_rs232_get_sdata,ser_rs232_get_sdata,re,confirmed,Cdrv comms driver (RS-232 serial) public export,
0x10002BC0,func,bio_set_timer,bio_set_timer,re,confirmed,Cdrv comms driver (RS-232 serial) public export,
0x10002BE0,func,bio_get_elapsedtime,bio_get_elapsedtime,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall bio_get_elapsedtime(undefined4)
0x10002C10,func,bio_get_timer,bio_get_timer,re,confirmed,Cdrv comms driver (RS-232 serial) public export,"undefined4 __stdcall bio_get_timer(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x10002C40,func,bio_set_timerresolution,bio_set_timerresolution,re,confirmed,Cdrv comms driver (RS-232 serial) public export,undefined4 __stdcall bio_set_timerresolution(undefined4)
0x10002C70,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002CA0,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002CE0,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002D20,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002D30,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002D50,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002D60,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002D70,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002E40,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002F00,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10002FA8,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100030D8,func,,,waiver,confirmed,statically-linked C runtime / library helper (Ghidra FID) — third-party,
0x1000311F,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100031F7,func,,,waiver,confirmed,statically-linked C runtime / library helper (Ghidra FID) — third-party,
0x100032C4,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100032E4,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003357,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003360,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003369,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x1000338A,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100033F2,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003538,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003566,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100035B8,func,,,waiver,confirmed,statically-linked C runtime / library helper (Ghidra FID) — third-party,
0x100035FA,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003677,func,,,waiver,confirmed,statically-linked C runtime / library helper (Ghidra FID) — third-party,
0x100036A7,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100036B8,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100036C7,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003752,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x1000375D,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003768,func,,,waiver,confirmed,statically-linked C runtime / library helper (Ghidra FID) — third-party,
0x10003788,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100037E9,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x1000380A,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x1000386D,func,,,waiver,confirmed,statically-linked C runtime / library helper (Ghidra FID) — third-party,
0x100039C6,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100039E1,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003A08,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003A6D,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003AC3,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003AE8,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003BB3,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003C49,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003E13,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003E4E,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003E8D,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10003EB1,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10004096,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100040A1,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10004193,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100041B9,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10004215,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10004236,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x1000428F,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x100042F7,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x1000430D,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10004318,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x1000432B,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
0x10004376,func,,,waiver,confirmed,Cdrv comms driver (RS-232 serial) internal — third-party; boundary-documented via the exports,
