va,kind,name,display,source,confidence,notes,type
0x10001000,func,InitializePort,InitializePort,re,confirmed,Cdrv comms driver (Hayes modem) public export,
0x100013D0,func,SetBaud,SetBaud,re,confirmed,Cdrv comms driver (Hayes modem) public export,"undefined4 __stdcall SetBaud(undefined4, undefined4)"
0x10001430,func,SetFlowControlCharacters,SetFlowControlCharacters,re,confirmed,Cdrv comms driver (Hayes modem) public export,"undefined4 __stdcall SetFlowControlCharacters(undefined4, undefined4, undefined4, undefined4, undefined4)"
0x100014B0,func,SetFlowControlThreshold,SetFlowControlThreshold,re,confirmed,Cdrv comms driver (Hayes modem) public export,"undefined4 __stdcall SetFlowControlThreshold(undefined4, undefined4, undefined4)"
0x10001510,func,SetPortCharacteristics,SetPortCharacteristics,re,confirmed,Cdrv comms driver (Hayes modem) public export,"undefined4 __stdcall SetPortCharacteristics(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x100015A0,func,UnInitializePort,UnInitializePort,re,confirmed,Cdrv comms driver (Hayes modem) public export,undefined4 __stdcall UnInitializePort(undefined4)
0x10001640,func,SetSpecialBehavior,SetSpecialBehavior,re,confirmed,Cdrv comms driver (Hayes modem) public export,"undefined4 __stdcall SetSpecialBehavior(undefined4, undefined4, undefined4, undefined4)"
0x10001720,func,Dial,Dial,re,confirmed,Cdrv comms driver (Hayes modem) public export,"undefined4 __stdcall Dial(undefined4, undefined4, undefined4)"
0x100017C0,func,,,waiver,confirmed,Cdrv comms driver (Hayes modem) internal — third-party; boundary-documented via the exports,
0x10001880,func,ModemAnswerMode,ModemAnswerMode,re,confirmed,Cdrv comms driver (Hayes modem) public export,"undefined4 __stdcall ModemAnswerMode(undefined4, undefined4)"
0x10001950,func,ModemAttention,ModemAttention,re,confirmed,Cdrv comms driver (Hayes modem) public export,undefined4 __stdcall ModemAttention(undefined4)
0x10001A70,func,ModemConnect,ModemConnect,re,confirmed,Cdrv comms driver (Hayes modem) public export,undefined4 __stdcall ModemConnect(undefined4)
