va,kind,name,display,source,confidence,notes,type
0x10001000,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100018D0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002150,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002410,func,CdrvXferCreateDialog,CdrvXferCreateDialog,re,confirmed,Cdrv comms driver (file transfer) public export,undefined4 __stdcall CdrvXferCreateDialog(undefined4)
0x10002580,func,CdrvXferUpdateDialog,CdrvXferUpdateDialog,re,confirmed,Cdrv comms driver (file transfer) public export,undefined4 __stdcall CdrvXferUpdateDialog(undefined4)
0x100026A0,func,CdrvXferDestroyDialog,CdrvXferDestroyDialog,re,confirmed,Cdrv comms driver (file transfer) public export,undefined4 __stdcall CdrvXferDestroyDialog(undefined4)
0x100026E0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002A90,func,cdrvxfer_files,cdrvxfer_files,re,confirmed,Cdrv comms driver (file transfer) public export,"undefined4 __stdcall cdrvxfer_files(undefined4, undefined4, undefined4, undefined4, undefined4)"
0x10002AC0,func,cdrvxfer_sfiles,cdrvxfer_sfiles,re,confirmed,Cdrv comms driver (file transfer) public export,"undefined4 __stdcall cdrvxfer_sfiles(undefined4, undefined4, undefined4, undefined4, undefined4)"
0x10002AF0,func,FileTransferDialog,FileTransferDialog,re,confirmed,Cdrv comms driver (file transfer) public export,"undefined4 __stdcall FileTransferDialog(undefined4, undefined4)"
0x10002B30,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002C20,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002D90,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002E20,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002E70,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10002FB0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003080,func,cdrvxfer_gclose,cdrvxfer_gclose,re,confirmed,Cdrv comms driver (file transfer) public export,undefined4 __stdcall cdrvxfer_gclose(undefined4)
0x100030D0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100031B0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100032A0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003320,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003350,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100033E0,func,cdrvxfer_getfiles,cdrvxfer_getfiles,re,confirmed,Cdrv comms driver (file transfer) public export,"undefined4 __stdcall cdrvxfer_getfiles(undefined4, undefined4)"
0x10003410,func,cdrvxfer_sendfiles,cdrvxfer_sendfiles,re,confirmed,Cdrv comms driver (file transfer) public export,
0x10003440,func,SetXferParameters,SetXferParameters,re,confirmed,Cdrv comms driver (file transfer) public export,"undefined4 __stdcall SetXferParameters(undefined4, undefined4)"
0x10003500,func,TransferFiles,TransferFiles,re,confirmed,Cdrv comms driver (file transfer) public export,"undefined4 __stdcall TransferFiles(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x10003640,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003660,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003680,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100036B0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100036D0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003700,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003740,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100037A0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100037F0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003810,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003830,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003890,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100038B0,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10003F00,data,,,waiver,confirmed,Cdrv comms driver (file transfer) internal data — third-party,
0x10003F08,data,,,waiver,confirmed,Cdrv comms driver (file transfer) internal data — third-party,
0x10003F68,data,,,waiver,confirmed,Cdrv comms driver (file transfer) internal data — third-party,
0x10003F74,data,,,waiver,confirmed,Cdrv comms driver (file transfer) internal data — third-party,
0x10004070,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x100046C0,data,,,waiver,confirmed,Cdrv comms driver (file transfer) internal data — third-party,
0x10004760,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
0x10004880,func,,,waiver,confirmed,Cdrv comms driver (file transfer) internal — third-party; boundary-documented via the exports,
