va,kind,name,display,source,confidence,notes,type
0x00412780,func,@SpeedOfSound@4,SpeedOfSound,sms,confirmed,,undefined4 __fastcall SpeedOfSound(undefined4)
0x00413C70,func,?TVKey@@YIGG@Z,TVKey,sms,confirmed,,unsigned short __fastcall TVKey(unsigned short)
0x00447970,func,?IntersectT@@YAJPAUF24_POINT@@JJ@Z,IntersectT,sms,confirmed,,"long __cdecl IntersectT(F24_POINT *, long, long)"
0x004514C0,func,_FMUpdateGearPitch@0,FMUpdateGearPitch,sms,confirmed,,undefined4 __stdcall FMUpdateGearPitch(void)
0x00451580,func,_FMUpdateGear@0,FMUpdateGear,sms,confirmed,,undefined4 __stdcall FMUpdateGear(void)
0x004515E0,func,_FMUpdateWingSweep@0,FMUpdateWingSweep,sms,confirmed,,undefined4 __stdcall FMUpdateWingSweep(void)
0x00451680,func,_FMUpdateThrustVector@0,FMUpdateThrustVector,sms,confirmed,,undefined4 __stdcall FMUpdateThrustVector(void)
0x004516B0,func,_FMGetWeight@0,FMGetWeight,sms,confirmed,,undefined4 __stdcall FMGetWeight(void)
0x00451820,func,@FMCopyAngles@4,FMCopyAngles,sms,confirmed,,undefined4 __fastcall FMCopyAngles(undefined4)
0x004518A0,func,_FMInitPlane@8,FMInitPlane,sms,confirmed,,"undefined4 __stdcall FMInitPlane(undefined4, undefined4)"
0x00451A60,func,_LimitThrottle@0,LimitThrottle,sms,confirmed,,undefined4 __stdcall LimitThrottle(void)
0x00451B00,func,@SetThrottle@4,SetThrottle,sms,confirmed,,undefined4 __fastcall SetThrottle(undefined4)
0x00451B60,func,@FMFlaps@8,FMFlaps,sms,confirmed,,"undefined4 __fastcall FMFlaps(undefined4, undefined4)"
0x00451C30,func,@FMHook@4,FMHook,sms,confirmed,,undefined4 __fastcall FMHook(undefined4)
0x00451C90,func,@FMGear@4,FMGear,sms,confirmed,,undefined4 __fastcall FMGear(undefined4)
0x00451D70,func,@FMBrakes@8,FMBrakes,sms,confirmed,,"undefined4 __fastcall FMBrakes(undefined4, undefined4)"
0x00451E00,func,@FMVector@8,FMVector,sms,confirmed,,"undefined4 __fastcall FMVector(undefined4, undefined4)"
0x00451E50,func,@FMFuelConsumption@4,FMFuelConsumption,sms,confirmed,,undefined4 __fastcall FMFuelConsumption(undefined4)
0x00451E80,func,_BurnFuel@0,BurnFuel,sms,confirmed,,undefined4 __stdcall BurnFuel(void)
0x00451E8B,func,,,waiver,confirmed,Ghidra split tail of _BurnFuel@0 (0x451E80) — the fuel-burn/afterburner body,
0x00452050,func,@FMBurnNPCFuel@4,FMBurnNPCFuel,sms,confirmed,,undefined4 __fastcall FMBurnNPCFuel(undefined4)
0x00452140,func,_FMUpdatePlaneFields@0,FMUpdatePlaneFields,sms,confirmed,,undefined4 __stdcall FMUpdatePlaneFields(void)
0x00452630,func,@FMBay@4,FMBay,sms,confirmed,,undefined4 __fastcall FMBay(undefined4)
0x00452710,func,_FMUpdateBay@0,FMUpdateBay,sms,confirmed,,undefined4 __stdcall FMUpdateBay(void)
0x00452760,func,@FMBayIsOpen@0,FMBayIsOpen,sms,confirmed,,undefined4 __fastcall FMBayIsOpen(void)
0x00452770,func,_HARDPtrs@12,HARDPtrs,sms,confirmed,,"undefined4 __stdcall HARDPtrs(undefined4, undefined4, undefined4)"
0x004527F0,func,@HARDUnload@8,HARDUnload,sms,confirmed,,"undefined4 __fastcall HARDUnload(undefined4, undefined4)"
0x00452870,func,?HARDPtrsFort@@YGPAXJPAPAUHARDPOINT@@PAPAUHARDPOINT_TYPE@@@Z,HARDPtrsFort,sms,confirmed,,"void * __stdcall HARDPtrsFort(long, HARDPOINT **, HARDPOINT_TYPE **)"
0x004528D0,func,?HARDUnloadFort@@YIDJJ@Z,HARDUnloadFort,sms,confirmed,,"char __fastcall HARDUnloadFort(long, long)"
0x00452940,func,@HARDStoreWeight@4,HARDStoreWeight,sms,confirmed,,undefined4 __fastcall HARDStoreWeight(undefined4)
0x00452980,func,_HARDCanLoad@8,HARDCanLoad,sms,confirmed,,"undefined4 __stdcall HARDCanLoad(undefined4, undefined4)"
0x00452C20,func,_HARDLoad@12,HARDLoad,sms,confirmed,,"undefined4 __stdcall HARDLoad(undefined4, undefined4, undefined4)"
0x00452D10,func,_HARDLoadAll@0,HARDLoadAll,sms,confirmed,,undefined4 __stdcall HARDLoadAll(void)
0x00452D60,func,_HARDUnloadAll@0,HARDUnloadAll,sms,confirmed,,undefined4 __stdcall HARDUnloadAll(void)
0x00452D90,func,@HARDBestSeekers@12,HARDBestSeekers,sms,confirmed,,"undefined4 __fastcall HARDBestSeekers(undefined4, undefined4, undefined4)"
0x00452E60,func,@HARDBestSeeker@8,HARDBestSeeker,sms,confirmed,,"undefined4 __fastcall HARDBestSeeker(undefined4, undefined4)"
0x00452EA0,func,@HARDFindJammer@4,HARDFindJammer,sms,confirmed,,undefined4 __fastcall HARDFindJammer(undefined4)
0x00452F10,func,@HARDFindECMForObj@8,HARDFindECMForObj,sms,confirmed,,"undefined4 __fastcall HARDFindECMForObj(undefined4, undefined4)"
0x00452F80,func,_HARDFindStore@12,HARDFindStore,sms,confirmed,,"undefined4 __stdcall HARDFindStore(undefined4, undefined4, undefined4)"
0x00452FF0,func,_HARDFindProj@16,HARDFindProj,sms,confirmed,,"undefined4 __stdcall HARDFindProj(undefined4, undefined4, undefined4, undefined4)"
0x00452FFB,func,,,waiver,confirmed,Ghidra split tail of _HARDFindProj@16 (0x452FF0) — the projectile-store search loop,
0x004530A0,func,_HARDSetFlags@0,HARDSetFlags,sms,confirmed,,undefined4 __stdcall HARDSetFlags(void)
