va,kind,name,display,source,confidence,notes,type
0x00400000,data,,,waiver,confirmed,MFC/CRT framework or bundled-tool internal data — third-party (boundary),
0x004011B5,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004011C3,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004011D1,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004011E6,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x0040136C,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401380,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004014B7,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401628,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x0040163A,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401650,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401890,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004019B0,func,CDROMBenchmark,CDROMBenchmark,re,confirmed,"CD-ROM speed/transfer benchmark (""Benchmarking CD-ROM Drive"", Single/Double/Quad-Speed, KB/s); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand","int __fastcall CDROMBenchmark(undefined4, undefined4, undefined4, undefined4)"
0x00401F2D,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401F38,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401F43,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401F55,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401F60,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401FC6,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401FD1,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401FDC,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401FE7,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00401FFC,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402070,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402090,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004020B0,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004020C0,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004021DC,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004021F1,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402230,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402280,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x004022A0,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402457,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402462,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x0040246D,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402478,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402483,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402498,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402530,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402720,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402761,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402940,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402AA5,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402AB3,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402AC1,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00402AD6,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B48,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B50,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B58,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B60,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B68,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B73,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B7B,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B83,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B8B,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B93,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403B9B,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403BAD,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403BC0,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403E80,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403F30,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403F84,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403F92,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
0x00403FA7,func,,,waiver,confirmed,"statically-linked MFC / MSVC-CRT framework or bundled-tool internal — third-party, out of scope by license (boundary treatment)",
