va,kind,name,display,source,confidence,notes,type
0x00435C60,func,@MMInit@4,MMInit,sms,confirmed,alloc handle table operator_new(count*0x1C); thread all handles onto free list; GetSystemInfo page size; sets mm_initialized,undefined4 __fastcall MMInit(undefined4)
0x00435D40,func,@MMShutdown@0,MMShutdown,sms,confirmed,MMFreeAllId for ids 0..0x12 (19 pools) then free handle array; clears mm_initialized,undefined4 __fastcall MMShutdown(void)
0x00435D80,func,@MMAllocHandle@8,MMAllocHandle,sms,confirmed,core allocator: MMInternalAlloc(size)+MMUseHandle -> T_HANDLE*; frees block if no free handle,"undefined4 __fastcall MMAllocHandle(undefined4, undefined4)"
0x00435DC0,func,@MMMapFile@8,MMMapFile,sms,confirmed,,"undefined4 __fastcall MMMapFile(undefined4, undefined4)"
0x00435E90,func,?MMUnmapFile@@YIXPAX00@Z,MMUnmapFile,sms,confirmed,UnmapViewOfFile + CloseHandle(mapping) + CloseHandle(file),"void __fastcall MMUnmapFile(void *, void *, void *)"
0x00435ED0,func,?MMUseHandle@@YIPAUT_HANDLE@@PAXKGE@Z,MMUseHandle,sms,confirmed,pop mm_unused_list; fill data(+8)/len(+C)/flags(+10)/allocId(+12); push onto mm_used_list,"T_HANDLE * __fastcall MMUseHandle(void *, unsigned long, unsigned short, unsigned char)"
0x00435F70,func,@MMAllocPtr@8,MMAllocPtr,sms,confirmed,MMAllocHandle then return handle->data (+8),"undefined4 __fastcall MMAllocPtr(undefined4, undefined4)"
0x00435F80,func,@MMFreeHandle@4,MMFreeHandle,sms,confirmed,unmap(if flag 0x4000) or MMInternalFree data; RMNotify if flag 0x0010; unlink used-list; push to free list,undefined4 __fastcall MMFreeHandle(undefined4)
0x00436040,func,@MMFreePtr@4,MMFreePtr,sms,confirmed,MMPtrToHandle then MMFreeHandle,undefined4 __fastcall MMFreePtr(undefined4)
0x00436060,func,@MMReallocHandle@8,MMReallocHandle,sms,confirmed,,"undefined4 __fastcall MMReallocHandle(undefined4, undefined4)"
0x004360D0,func,@MMReallocPtr@8,MMReallocPtr,sms,confirmed,MMPtrToHandle then return handle->data (thin realloc-by-ptr shim),"undefined4 __fastcall MMReallocPtr(undefined4, undefined4)"
0x004360E0,func,?MMInternalAlloc@@YIPAXK@Z,MMInternalAlloc,sms,confirmed,,void * __fastcall MMInternalAlloc(unsigned long)
