va,kind,name,display,source,confidence,notes,type
0x0041DE80,func,?DestroySurface@CDirDraw@@QAEHPAVCDirDrawSurface@@@Z,,sms,confirmed,,
0x0041E010,func,?GetHELCaps@CDirDraw@@QAEPBU_DDCAPS@@XZ,,sms,confirmed,,
0x0041E030,func,?Lock@CDirDraw@@QAEPAU_DDSURFACEDESC@@PAVCDirDrawSurface@@PAUtagRECT@@H@Z,,sms,confirmed,,
0x0041E050,func,?Unlock@CDirDraw@@QAEHPAVCDirDrawSurface@@@Z,,sms,confirmed,,
0x0045CA70,func,?DrawAcrossBankInter@@YAGFFFFKPAUGlobalData@@GPAE@Z,DrawAcrossBankInter,sms,confirmed,,"unsigned short __cdecl DrawAcrossBankInter(short, short, short, short, unsigned long, GlobalData *, unsigned short, unsigned char *)"
0x0045CDA0,func,?DrawAcrossBank@@YAGFFFFKPAUGlobalData@@G@Z,DrawAcrossBank,sms,confirmed,,"unsigned short __cdecl DrawAcrossBank(short, short, short, short, unsigned long, GlobalData *, unsigned short)"
0x0045DBD0,func,@GG_InitMode@0,GG_InitMode,sms,confirmed,,undefined4 __fastcall GG_InitMode(void)
0x0045DCB0,func,@GG_ShutdownMode@0,GG_ShutdownMode,sms,confirmed,,undefined4 __fastcall GG_ShutdownMode(void)
0x0045DCE0,func,@GG_GetMode@0,GG_GetMode,sms,confirmed,,undefined4 __fastcall GG_GetMode(void)
0x0045DE70,func,_GG_SetPalette@16,GG_SetPalette,sms,confirmed,,"undefined4 __stdcall GG_SetPalette(undefined4, undefined4, undefined4, undefined4)"
0x0045DEC0,func,@GG_Shake@0,GG_Shake,sms,confirmed,,undefined4 __fastcall GG_Shake(void)
0x0045DEDF,func,GG_FlushShaken,,re,inferred,present the back buffer with the current screen-shake offset (reads _vShakeTicks/_hShakeTicks); shake variant of GG_Flush with no direct callers in the image (dead or indirect shake path); not a C function (#479): mid-function split of @GG_Shake@0 (0x0045DEC0),!split
0x0045E0E5,func,,,waiver,confirmed,"SEH frame handler for GG_Shake — forwards to ___CxxFrameHandler; compiler-generated 10-byte thunk installed by @GG_Shake@0, the pair of the unwind funnel at 0x0045E0EF",
0x0045E0EF,func,,,waiver,confirmed,SEH unwind funnel for GG_FlushShaken — releases the DirectDraw critical section (_ddLCS); compiler-generated 8-byte thunk,
0x0045E100,func,@GG_GetSubmodes@4,GG_GetSubmodes,sms,confirmed,,undefined4 __fastcall GG_GetSubmodes(undefined4)
0x0045E110,func,@GG_GetSubmodeName@0,GG_GetSubmodeName,sms,confirmed,,undefined4 __fastcall GG_GetSubmodeName(void)
0x0045E120,func,@GG_Flush@4,GG_Flush,sms,confirmed,,undefined4 __fastcall GG_Flush(undefined4)
0x0045E13F,func,GG_FlushDirtyLines,,re,inferred,"the dirty-line blit region of GG_Flush (0x45E120, whose SEH body spans 0x45E120-0x45E356); a Ghidra mid-function split reached only by fall-through (no callers) — not separately callable; not a C function (#479): mid-function split of @GG_Flush@4 (0x0045E120)",!split
0x0045E356,func,,,waiver,confirmed,"SEH frame handler for GG_Flush — forwards to ___CxxFrameHandler; compiler-generated 10-byte thunk, shared by @GG_Flush@4 and @G_Flush@4 (the compiler folded the identical thunks together), the pair of the unwind funnel at 0x0045E360",
0x0045E360,func,,,waiver,confirmed,SEH unwind funnel for GG_FlushDirtyLines — releases the DirectDraw critical section (_ddLCS); compiler-generated 8-byte thunk,
0x0045E370,func,@flushLineStats@0,flushLineStats,sms,confirmed,,undefined4 __fastcall flushLineStats(void)
0x0045E3A0,func,@GG_RestoreSurfaces@0,GG_RestoreSurfaces,sms,confirmed,,undefined4 __fastcall GG_RestoreSurfaces(void)
0x0045E410,func,@GG_WaitRetrace@0,GG_WaitRetrace,sms,confirmed,,undefined4 __fastcall GG_WaitRetrace(void)
0x0045E430,func,_GG_QuickBlt,GG_QuickBlt,sms,confirmed,,
0x0045E440,func,_GG_VideoModesAvailable@0,GG_VideoModesAvailable,sms,confirmed,,undefined4 __stdcall GG_VideoModesAvailable(void)
0x00497330,func,@G_FlipY@4,G_FlipY,sms,confirmed,,undefined4 __fastcall G_FlipY(undefined4)
