va,kind,name,display,source,confidence,notes,type
0x0040B8A0,func,?MouseLoadPtr@@YGXXZ,MouseLoadPtr,sms,confirmed,load per-screen mouse pointer bitmap (PLANE.C etc.); reads _curScreen/_menuResolution,void __stdcall MouseLoadPtr(void)
0x0040BA10,func,?ShellSetup@@YGXXZ,ShellSetup,sms,confirmed,"shell chrome setup: palette save copies, mouse pointer PIC (MOUSE320/MOUSEPTR), SHADV32/64 + corner drop-shadow PICs by _menuResolution, steel pattern + palette for the in-flight menu (curScreen 0x10), MenuCreateRemaps",void __stdcall ShellSetup(void)
0x0040BC20,func,?MaybeCampaignMenu@@YGXPADJJD@Z,MaybeCampaignMenu,sms,confirmed,conditionally overlay the campaign action bar (MAINMENU.MNU) on a screen,"void __stdcall MaybeCampaignMenu(char *, long, long, char)"
0x0040BD00,func,?MaybeCampaignMenu2@@YGXPADJJD@Z,MaybeCampaignMenu2,sms,confirmed,tail variant of MaybeCampaignMenu,"void __stdcall MaybeCampaignMenu2(char *, long, long, char)"
0x0040BD30,func,?MenuStartUp@@YGXPADJJDJ@Z,MenuStartUp,sms,confirmed,"build+show a menu bar from a .MNU name; calls ShellSetup, clears _menuSelecting","void __stdcall MenuStartUp(char *, long, long, char, long)"
0x0040BF40,func,MenuInstallRemap,,re,confirmed,install a palette color-remap table into a G-remap slot (0x114-0x118); called 5x by MenuCreateRemaps; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,"void __fastcall MenuInstallRemap(short, undefined4)"
0x0040BF60,func,MenuMeasureItemWidth,,re,confirmed,"measure widest menu item label via G_ColorStringWidth over the item linked list (+0x12 text, +submenu via FUN_0040c130)","undefined4 __stdcall MenuMeasureItemWidth(undefined4, undefined4, undefined4, undefined4)"
0x0040C130,func,MenuItemSubString,,re,confirmed,"skip a menu label's leading marker bytes (>1) and return the submenu/secondary substring, or NULL",undefined4 __stdcall MenuItemSubString(undefined4)
0x0040C160,func,MenuLoadFont,,re,confirmed,load MENUFONT.PIC (640) or MFONT320.PIC (320) per _menuResolution into DAT_004ec21c; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl MenuLoadFont(void)
0x0040C1A0,func,?MenuRemoveItem@@YAXJ@Z,MenuRemoveItem,sms,confirmed,remove a menu item by packed G-index,void __cdecl MenuRemoveItem(long)
0x0040C1D0,func,MenuLinkTerminate,,re,confirmed,walk _firstMenu linked list to the tail and null-terminate it; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl MenuLinkTerminate(void)
0x0040C1F0,func,?MenuCreateRemaps@@YGXXZ,MenuCreateRemaps,sms,confirmed,"build 5 shadow palette-remaps (menuShadow1..5 at 0x5221f0/0x5220f0/0x521ef0/0x521df0/0x521ff0, %=60/66/74/84/96) via FUN_0040d4e0; install slots 0x114-0x118 via FUN_0040bf40",void __stdcall MenuCreateRemaps(void)
0x0040C290,func,?ShellOff@@YGXXZ,ShellOff,sms,confirmed,"release shell chrome: hide mouse, restore + free the saved palettes, free the pointer save",void __stdcall ShellOff(void)
0x0040C310,func,?MenuShutDown@@YGXD@Z,MenuShutDown,sms,confirmed,"tear down the menu bar: restore the saved menu-bar background (optional flush), free bar/steel/brush handles, restore submenu backgrounds, free the _firstMenu list",void __stdcall MenuShutDown(char)
0x0040C410,func,?MenuDrawBar@@YIXD@Z,MenuDrawBar,sms,confirmed,save region under bar (menuBarSave) then draw the top menu bar from _firstMenu list,void __fastcall MenuDrawBar(char)
