va,kind,name,display,source,confidence,notes,type
0x004A7310,func,_T_InitPlane@4,T_InitPlane,sms,confirmed,spawns player plane on terrain at mission start (FMInitPlane/FMUpdatePlaneFields/EnterState/PLANESetFeetWet); writes _cg mirror fields,undefined4 __stdcall T_InitPlane(undefined4)
0x004A73B0,func,_T_AddObj@12,T_AddObj,sms,confirmed,add a static object/building to the terrain object database (1642 B),"undefined4 __stdcall T_AddObj(undefined4, undefined4, undefined4)"
0x004A7A40,func,_T_AddYourObjs@0,T_AddYourObjs,sms,confirmed,"terrain ""add your objects"" service pass",undefined4 __stdcall T_AddYourObjs(void)
0x004A7D70,func,_T_ImmediateVisibility@4,T_ImmediateVisibility,sms,confirmed,,undefined4 __stdcall T_ImmediateVisibility(undefined4)
0x004A7DF0,func,_T_ObjList@8,T_ObjList,sms,confirmed,,"undefined4 __stdcall T_ObjList(undefined4, undefined4)"
0x004A7E50,func,_T_Render@4,T_Render,sms,confirmed,,undefined4 __stdcall T_Render(undefined4)
0x004A7F20,func,_T_InitForestProc,T_InitForestProc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes (0x20 B setup preceding T_ResolveDecorShapes),
0x004A7F40,func,T_ResolveDecorShapes,,re,confirmed,walk a decoration brush-list (stride 0x1a) resolving each entry's SH via _RMAccess into +2; called by T_InitWaterProc(&_waterList) / T_InitCloudProc(&_cloudList); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __fastcall T_ResolveDecorShapes(undefined4 *)
0x004A7F70,func,?T_ForestProc@@YAXJ@Z,T_ForestProc,sms,confirmed,scatters forest decoration (desert vs _forestList) via T_ScatterGrid,void __cdecl T_ForestProc(long)
0x004A8090,func,T_ScatterGrid,,re,inferred,2^n x 2^n tiling loop invoking T_ScatterDecorTile; called by every T_*Proc (evidence: T_ForestProc/T_MooseProc/T_WaterProc),"undefined4 __stdcall T_ScatterGrid(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004A8130,func,T_ScatterDecorTile,,re,inferred,"place one decoration cluster per tile: per-band distance LOD, T_GetLeaf gate, T_Info altitude, T_QueueDecor","undefined4 __stdcall T_ScatterDecorTile(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004A83E0,func,_T_InitForest1Proc,T_InitForest1Proc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,
0x004A8400,func,?T_Forest1Proc@@YAXJ@Z,T_Forest1Proc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,void __cdecl T_Forest1Proc(long)
0x004A8520,func,_T_InitForest2Proc,T_InitForest2Proc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,
0x004A8540,func,?T_Forest2Proc@@YAXJ@Z,T_Forest2Proc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,void __cdecl T_Forest2Proc(long)
0x004A8660,func,_T_InitFarmProc,T_InitFarmProc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,
0x004A8670,func,?T_FarmProc@@YAXJ@Z,T_FarmProc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,void __cdecl T_FarmProc(long)
0x004A8730,func,_T_InitMooseProc,T_InitMooseProc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,
0x004A8750,func,?T_MooseProc@@YAXJ@Z,T_MooseProc,sms,confirmed,"scatters ""moose"" decoration (desert vs _mooseList)",void __cdecl T_MooseProc(long)
0x004A8870,func,?T_InitVietRicePaddy1Proc@@YAXXZ,T_InitVietRicePaddy1Proc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,void __cdecl T_InitVietRicePaddy1Proc(void)
0x004A8880,func,?T_VietRicePaddy1Proc@@YAXJ@Z,T_VietRicePaddy1Proc,sms,confirmed,Vietnam theater rice-paddy decoration proc,void __cdecl T_VietRicePaddy1Proc(long)
0x004A8950,func,?T_InitVietRicePaddy2Proc@@YAXXZ,T_InitVietRicePaddy2Proc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,void __cdecl T_InitVietRicePaddy2Proc(void)
0x004A8960,func,?T_VietRicePaddy2Proc@@YAXJ@Z,T_VietRicePaddy2Proc,sms,confirmed,label-only in FA.SMS import; ApplySymbols materializes,void __cdecl T_VietRicePaddy2Proc(long)
