va,kind,name,display,source,confidence,notes,type
0x0040D7A0,func,_VIEWSlew@12,VIEWSlew,sms,confirmed,slew (free-look) camera control,"undefined4 __stdcall VIEWSlew(undefined4, undefined4, undefined4)"
0x0040D7F0,func,VIEWApplyMode,VIEWApplyMode,re,inferred,if the view mode word (+0xB4) is set delegate to the view builder VIEWBuild,
0x0040D810,func,VIEWFromObject,VIEWFromObject,re,inferred,position the view from the tracked object (_objPtrs[view+0x1C]) and its state,
0x0040E240,func,VIEWUpdateByType,VIEWUpdateByType,re,inferred,per-object-type view update (object class 7/0xC/0xF branches),undefined4 __stdcall VIEWUpdateByType(undefined4)
0x0040E2C0,func,VIEWFitDistance,VIEWFitDistance,re,inferred,compute camera stand-off distance from the object radius (_ObjRadius),
0x0040E330,func,VIEWAngleScale,VIEWAngleScale,re,inferred,angle-to-scale clamp helper for the view transform,undefined4 __cdecl VIEWAngleScale(undefined4)
0x0040E380,func,_VIEWImmediateVisibility@0,VIEWImmediateVisibility,sms,confirmed,force the view to immediate (no-transition) visibility,undefined4 __stdcall VIEWImmediateVisibility(void)
0x0040E3A0,func,VIEWInit,VIEWInit,re,inferred,allocate/initialise a view slot (MMPushAllocId; zero +0x1C/+0x1E),
0x0040E450,func,VIEWFree,VIEWFree,re,inferred,free the view's allocated buffer (_MMFreePtr on +0x60),
0x0040E470,func,VIEWSnapshot,VIEWSnapshot,re,inferred,copy the 0x30-dword view state block (snapshot/restore helper),
0x0040E930,func,_VIEWInTransition@0,VIEWInTransition,sms,confirmed,returns non-zero while the view is mid-transition,undefined4 __stdcall VIEWInTransition(void)
0x0040E960,func,VIEWReplayRecordGate,VIEWReplayRecordGate,re,confirmed,replay record gate: inside the _timerTicks window (DAT_005223F0/F4) set replay-active DAT_005224C0,
0x0040EBA0,func,VIEWReplayPlayback,VIEWReplayPlayback,re,confirmed,replay playback: when replay-active copy the 0x30-dword saved-view buffer (DAT_00522400) into the view,
0x0040EBC0,func,VIEWBuild,VIEWBuild,re,inferred,build the external/spot view for the given mode (the view builder VIEWApplyMode calls),
0x0040F230,func,VIEWModeLookup,VIEWModeLookup,re,inferred,scan the view-mode table at DAT_004EC420,
0x0040F270,func,VIEWScaleClamp,VIEWScaleClamp,re,inferred,clamp/scale helper for the view field-of-view or zoom,
0x0040F2D0,func,VIEWSlewIntegrate,VIEWSlewIntegrate,re,inferred,frame-rate-scaled slew integration (_LMultDiv256 by _systemFrameTicks),
0x0040F590,func,_VIEWChangeObj@12,VIEWChangeObj,sms,confirmed,switch the view to a different tracked object,"undefined4 __stdcall VIEWChangeObj(undefined4, undefined4, undefined4)"
0x0040F5D0,func,VIEWCanSeeTarget,VIEWCanSeeTarget,re,inferred,visibility/padlock check (_WRCanSee) gated on a _gamePrefs bit,
0x004EC420,data,_viewModeTable,viewModeTable,re,inferred,view-mode dispatch table scanned by VIEWModeLookup,
0x004EC424,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x004EC428,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x004EC43C,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x004EC440,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x004EC450,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x00522330,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x00522334,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x00522350,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x00522354,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x00522358,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x0052235C,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x0052235E,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x00522360,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x00522362,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005223F0,data,_replayWindowStart,replayWindowStart,re,inferred,replay capture window start tick,undefined4
0x005223F4,data,_replayWindowEnd,replayWindowEnd,re,inferred,replay capture window end tick,undefined4
0x00522400,data,_replaySaveBuf,replaySaveBuf,re,inferred,saved-view replay buffer base (0x30 dwords copied in/out of the view),
0x00522404,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005224C0,data,_replayActive,replayActive,re,inferred,"replay-active flag (set by VIEWReplayRecordGate, read by VIEWReplayPlayback)",undefined1
0x005225A4,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225A5,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225E0,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225E2,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225E3,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225E4,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225E5,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225E6,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
0x005225E8,data,,,waiver,confirmed,VIEW subsystem internal state / struct interior,
