va,kind,name,display,source,confidence,notes,type
0x004C06A0,func,_PROJInit@0,PROJInit,sms,confirmed,,undefined4 __stdcall PROJInit(void)
0x004C0710,func,_PROJGetTargetPos@12,PROJGetTargetPos,sms,confirmed,,"undefined4 __stdcall PROJGetTargetPos(undefined4, undefined4, undefined4)"
0x004C0820,func,@PROJAccurateHardPos@4,PROJAccurateHardPos,sms,confirmed,,undefined4 __fastcall PROJAccurateHardPos(undefined4)
0x004C0870,func,@PROJSetTarget@4,PROJSetTarget,sms,confirmed,,undefined4 __fastcall PROJSetTarget(undefined4)
0x004C0960,func,_PROJLockUpdate@0,PROJLockUpdate,sms,confirmed,,undefined4 __stdcall PROJLockUpdate(void)
0x004C0A90,func,_PROJAdd@40,PROJAdd,sms,confirmed,,"undefined4 __stdcall PROJAdd(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004C0A9D,func,,,waiver,confirmed,Ghidra mid-function split of _PROJAdd@40 (0x4C0A90),
0x004C1120,func,_PROJSpeed@8,PROJSpeed,sms,confirmed,,"undefined4 __stdcall PROJSpeed(undefined4, undefined4)"
0x004C1170,func,_PROJEngineState@0,PROJEngineState,sms,confirmed,,undefined4 __stdcall PROJEngineState(void)
0x004C11B0,func,?PROJMoveProc@@YAXD@Z,PROJMoveProc,sms,confirmed,,void __cdecl PROJMoveProc(char)
0x004C1630,func,PROJGuideToTarget,,re,confirmed,CreateMove toward lock target (proportional guidance); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl PROJGuideToTarget(void)
0x004C1660,func,PROJGuideLoft,,re,confirmed,loft/high-trajectory guidance when range>=type+0x10D; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl PROJGuideLoft(void)
0x004C1720,func,PROJHoldCourse,,re,confirmed,hold current commanded angles (fly straight); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl PROJHoldCourse(void)
0x004C1760,func,PROJGuideToSun,,re,confirmed,steer IR seeker toward the sun when decoyed; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl PROJGuideToSun(void)
0x004C17A0,func,PROJUpdateWeave,,re,inferred,random weave/jink aim offsets from type weave amp; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,void __cdecl PROJUpdateWeave(void)
0x004C17F0,func,PROJSunInSeeker,,re,confirmed,IR seeker sun/sky FOV check (decoy source); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u8 __cdecl PROJSunInSeeker(void)
0x004C1870,func,?PROJDamageProc@@YAXPAUHIT_OBJ_DATA@@@Z,PROJDamageProc,sms,confirmed,,void __cdecl PROJDamageProc(HIT_OBJ_DATA *)
0x004C1C10,func,PROJBuildName,,re,confirmed,compose '<nation> <weapon> <type>' into the kill-chatter name buffer; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,char * __cdecl PROJBuildName(void)
0x004C1CC0,func,?PROJEventProc@@YADFJ@Z,PROJEventProc,sms,confirmed,label-only in FA.SMS; ApplySymbols materializes the function,"char __cdecl PROJEventProc(short, long)"
0x004C1F10,func,PROJIsLockableTarget,,re,confirmed,predicate: valid non-player lock candidate; signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,u8 __fastcall PROJIsLockableTarget(u16)
0x004C1F50,func,_PROJProc,PROJProc,sms,confirmed,signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand,undefined4 __cdecl PROJProc(char)
0x004C20C0,func,_PROJHit@8,PROJHit,sms,confirmed,,"undefined4 __stdcall PROJHit(undefined4, undefined4)"
0x004C2170,func,_PROJFire@16,PROJFire,sms,confirmed,,"undefined4 __stdcall PROJFire(undefined4, undefined4, undefined4, undefined4)"
0x004C24B0,func,PROJAimAngles,,re,inferred,compute launch/boresight angles in the launcher frame (gimbal-limited),"undefined4 __stdcall PROJAimAngles(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004C26F0,func,_PROJFireSound@4,PROJFireSound,sms,confirmed,,undefined4 __stdcall PROJFireSound(undefined4)
0x004C2860,func,_PROJInFOV@40,PROJInFOV,sms,confirmed,,"undefined4 __stdcall PROJInFOV(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004C2B50,func,PROJTargetSignal,,re,inferred,"seeker signal/lock quality (contrast, IR notch, look-down, clutter)",
0x004C2B5A,func,,,waiver,confirmed,Ghidra mid-function split of PROJTargetSignal (0x4C2B50),
0x004C2E40,func,PROJInNotch,,re,inferred,Doppler-notch/beaming detection (defeats pulse-doppler),"undefined4 __stdcall PROJInNotch(undefined4, undefined4)"
0x004C2EB0,func,_PROJRadarIsOn@8,PROJRadarIsOn,sms,confirmed,,"undefined4 __stdcall PROJRadarIsOn(undefined4, undefined4)"
0x004C2F20,func,_PROJLock@24,PROJLock,sms,confirmed,,"undefined4 __stdcall PROJLock(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004C31F0,func,PROJIRSensorOn,,re,inferred,IR-seeker detectability duty gate,"undefined4 __stdcall PROJIRSensorOn(undefined4, undefined4)"
0x004C3250,func,PROJProximityFuze,,re,inferred,closest-approach detonation decision + hit roll,undefined4 __stdcall PROJProximityFuze(undefined4)
0x004C3360,func,PROJTargetIsFastAir,,re,confirmed,"predicate: fast maneuvering aircraft (class4, speed>0x3A00); signature recovered in the #453 per-subsystem pass; convention and stack arity checked against the binary's RET operand",u8 __fastcall PROJTargetIsFastAir(entity *)
0x004C3380,func,_PROJHitChance@28,PROJHitChance,sms,confirmed,,"undefined4 __stdcall PROJHitChance(undefined4, undefined4, undefined4, undefined4, undefined4, undefined4, undefined4)"
0x004C338A,func,,,waiver,confirmed,Ghidra mid-function split of _PROJHitChance@28 (0x4C3380),
0x004C3830,func,PROJApplyPkCurve,,re,inferred,interpolate and clamp the running Pk penalty,"undefined4 __stdcall PROJApplyPkCurve(undefined4, undefined4, undefined4, undefined4)"
